	RHX	RHY	RHZ	LHX	LHY	LHZ
0	224.253623239	-92.0476390822	1052.94272418	205.681173144	107.307505985	1043.18531603
1	224.602391182	-90.7596664038	1055.08021635	206.079550459	107.00789235	1045.45499109
2	224.912619757	-89.5643092648	1057.26722019	206.483067811	106.719386679	1047.72457103
3	225.192685349	-88.4406917672	1059.49274911	206.891827312	106.440787311	1049.99395958
4	225.450964342	-87.3679380126	1061.74581652	207.305931075	106.170892587	1052.26306048
5	225.695833122	-86.325172103	1064.01543585	207.725481212	105.908500848	1054.53177749
6	225.935668071	-85.2915181401	1066.29062051	208.150579836	105.652410434	1056.80001433
7	226.178845576	-84.2461002256	1068.56038392	208.58132906	105.401419685	1059.06767476
8	226.433137908	-83.1700582072	1070.81475791	209.017830995	105.154326942	1061.33466251
9	226.699432311	-82.067505271	1073.05538108	209.460187755	104.909930545	1063.60088133
10	226.974238631	-80.9571607075	1075.29127146	209.908501452	104.667028836	1065.86623496
11	227.253996602	-79.8579777446	1077.53156526	210.362874197	104.424420153	1068.13062714
12	227.535798637	-78.7851254295	1079.78358478	210.823408105	104.180902839	1070.39396162
13	227.819403788	-77.7383117697	1082.0472413	211.290205287	103.935275233	1072.65614213
14	228.105252049	-76.7132967044	1084.32055362	211.763367855	103.686335677	1074.91707242
15	228.393783417	-75.7058401714	1086.60154053	212.242997923	103.432882509	1077.17665623
16	228.685437886	-74.7117021086	1088.88822084	212.729197603	103.173714071	1079.43479731
17	228.980655451	-73.7266424539	1091.17861336	213.223729874	102.908397151	1081.69094559
18	229.279876109	-72.746421145	1093.47073688	213.751702328	102.647299566	1083.93817256
19	229.583539854	-71.7667981197	1095.76261022	214.355452484	102.408761041	1086.16484196
20	229.892086681	-70.783533316	1098.05225218	215.075625236	102.210482302	1088.35978257
21	230.205956586	-69.7923866716	1100.33768155	215.898465233	102.048737042	1090.52675338
22	230.525589565	-68.7891181244	1102.61691714	216.752123265	101.896917091	1092.68545733
23	230.85141617	-67.7696419564	1104.88804659	217.561970606	101.727318625	1094.85636037
24	231.183537147	-66.735263946	1107.15156212	218.280704289	101.522571991	1097.05252923
25	231.521645181	-65.6939605439	1109.41093099	218.932417914	101.292308605	1099.26769786
