	RHX	RHY	RHZ	LHX	LHY	LHZ
0	-273.374665359	-238.479829692	910.945675471	-402.909735388	321.178115951	812.710562801
1	-275.903316682	-237.007810028	905.570526064	-403.004028482	321.914169815	812.939293378
2	-278.804488767	-235.552457434	900.386236145	-403.106662779	322.649855924	813.171935238
3	-282.004501008	-234.142272153	895.361803448	-403.217862406	323.385022012	813.407764305
4	-285.429848404	-232.805569939	890.466314998	-403.337851489	324.119515813	813.646056501
5	-289.025401799	-231.551361134	885.678201876	-403.466854156	324.853185061	813.886087749
6	-292.770271618	-230.352684444	880.993305858	-403.605094533	325.585877488	814.127133973
7	-296.647307227	-229.178650488	876.409369965	-403.752796747	326.317440829	814.368471095
8	-300.639721758	-227.999633656	871.924152525	-403.910184923	327.047722816	814.609375039
9	-304.736624858	-226.806493694	867.535660056	-404.07748319	327.776571183	814.849121726
10	-308.93190907	-225.606706842	863.242100391	-404.254915673	328.503833664	815.086987081
11	-313.219604914	-224.408228693	859.041687166	-404.442706499	329.229357992	815.322247026
12	-317.5937562	-223.21914044	854.932434397	-404.641079795	329.9529919	815.554177485
13	-322.048676402	-222.050072096	850.908305129	-404.850259687	330.674583123	815.782054379
14	-326.578930071	-220.914026784	846.959490697	-405.070470302	331.393979393	816.005153633
15	-331.179091321	-219.824098034	843.07603875	-405.301935767	332.111028443	816.222751169
16	-335.844115999	-218.793551826	839.248691629	-405.544880208	332.825578009	816.43412291
17	-340.576380612	-217.839006518	835.481696064	-405.799527752	333.537475822	816.638544779
18	-345.38499762	-216.98012352	831.791557114	-406.066102526	334.246569616	816.835292699
19	-350.279323867	-216.236674648	828.195224581	-406.344828656	334.952707125	817.023642593
20	-355.268712929	-215.628438789	824.709643613	-406.635930268	335.655736082	817.202870384
21	-360.35496794	-215.19153527	821.341006787	-406.939631376	336.355504226	817.372252206
22	-365.516224562	-215.013303822	818.061801888	-407.256033396	337.051863984	817.531289231
23	-370.71948811	-215.298852205	814.858010422	-407.584882051	337.7446814	817.680135563
24	-375.581121949	-217.349816988	812.087683357	-407.925858923	338.433824967	817.819063046
25	-373.516623485	-222.546881349	813.873973601	-408.278645592	339.119163182	817.948343525
26	-370.147648235	-226.705112294	816.817229098	-408.64292364	339.80056454	818.068248845
27	-366.43396341	-230.247641081	820.155999623	-409.018374648	340.477897538	818.179050851
28	-362.28170088	-233.011340102	823.698032638	-409.404680196	341.15103067	818.281021387
29	-357.847761488	-235.023574003	827.388435117	-409.801521865	341.819832433	818.374432299
30	-353.245085033	-236.155230643	831.263075429	-410.208581237	342.484171321	818.459555432
31	-348.605253743	-236.33039884	835.256621945	-410.625539892	343.143915831	818.53666263
32	-344.049572782	-235.65026873	839.309203862	-411.052079412	343.798934459	818.606025738
33	-339.658439877	-234.457093578	843.395620487	-411.487881377	344.449095699	818.667916601
34	-335.439599341	-232.891648823	847.523364655	-411.932627368	345.094268048	818.722607064
35	-331.384547826	-231.041001876	851.706843685	-412.385998966	345.734320001	818.770368972
36	-327.48478199	-228.992220145	855.960464896	-412.847677753	346.369120055	818.81147417
37	-323.731798487	-226.832371038	860.298635606	-413.317345309	346.998536704	818.846194503
38	-320.117329317	-224.643036911	864.734462722	-413.794683215	347.622438444	818.874801815
39	-316.63533428	-222.453877811	869.268743248	-414.279373052	348.240693771	818.897567952
40	-313.281001036	-220.265936665	873.895489552	-414.771096402	348.85317118	818.914764758
41	-310.049530068	-218.079957534	878.608643147	-415.269534844	349.459739168	818.926664079
42	-306.936121859	-215.896684477	883.402145547	-415.774369961	350.060266229	818.933537758
43	-303.935976892	-213.716861557	888.269938263	-416.285292791	350.654646049	818.935648531
44	-301.044295649	-211.541232834	893.20596281	-416.802072859	351.242981319	818.933183527
