	RHX	RHY	RHZ	LHX	LHY	LHZ
0	157.679698736	-81.1941948264	989.121138037	161.908810052	376.747337417	847.100476823
1	155.718529818	-83.1947613164	985.556418258	161.399321007	377.053426544	846.976913448
2	155.212434979	-86.8754037807	983.737705945	160.891076314	377.36214179	846.856261468
3	157.378016551	-89.9671065714	986.023282743	160.384082982	377.673466469	846.738496403
4	160.070598126	-92.0062971745	988.973350564	159.878348017	377.987383894	846.623593773
5	162.775600685	-93.8652869063	991.969971935	159.373878427	378.303877376	846.511529099
6	165.47965805	-95.6899649286	995.027116471	158.870681218	378.622930228	846.4022779
7	168.176169467	-97.5760609429	998.083905905	158.368763399	378.944525763	846.295815697
8	170.858651072	-99.6182969662	1001.07823059	157.868131976	379.268647294	846.19211801
9	173.5232658	-101.888577385	1003.92009797	157.368793957	379.595278132	846.091160359
10	176.168800449	-104.436186694	1006.49187421	156.870756349	379.92440159	845.992918265
11	178.794154121	-107.309441255	1008.67474241	156.374026159	380.256000981	845.897367246
12	181.364227832	-110.551565085	1010.38623743	155.878610395	380.590059617	845.804482825
13	183.640458722	-114.139553878	1011.82604226	155.384516064	380.92656081	845.71424052
14	185.745000706	-117.792643404	1013.37086994	154.891750173	381.265487874	845.626615851
15	187.86142248	-121.305179105	1015.19819082	154.400319729	381.606824121	845.54158434
16	189.979012114	-124.679656764	1017.25552346	153.910231741	381.950552862	845.459121506
17	192.078735594	-127.938920418	1019.50197447	153.421493214	382.296657412	845.37920287
18	194.141693025	-131.111011601	1021.90672435	152.934111157	382.645121081	845.30180395
19	196.148985241	-134.223999935	1024.43900805	152.448092576	382.995927184	845.226900269
20	198.081714564	-137.305953429	1027.06806146	151.963444479	383.349059031	845.154467345
21	199.933838062	-140.371005935	1029.77118163	151.480173874	383.704499936	845.084480699
22	201.743423225	-143.38547695	1032.55332715	150.998287767	384.062233211	845.016915851
23	203.557968179	-146.305465951	1035.42537337	150.517793166	384.422242169	844.951748321
24	205.408085572	-149.107193223	1038.38965165	150.038697077	384.784510122	844.88895363
25	207.277734618	-151.822471482	1041.42488694	149.56100651	385.149020383	844.828507297
26	209.142885245	-154.492633347	1044.5057618	149.08472847	385.515756264	844.770384843
27	210.984173082	-157.15117951	1047.61163201	148.609869964	385.884701078	844.714561788
28	212.798639043	-159.804072457	1050.73828503	148.136438001	386.255838137	844.661013651
29	214.586927816	-162.451225314	1053.88511793	147.664439588	386.629150753	844.609715954
30	216.34968409	-165.092551206	1057.05152775	147.193881731	387.00462224	844.560644217
31	218.087552553	-167.727963262	1060.23691153	146.724771439	387.382235909	844.513773958
32	219.801177893	-170.357374606	1063.44066631	146.257115718	387.761975073	844.469080699
33	221.491204797	-172.980698366	1066.66218916	145.790921575	388.143823045	844.42653996
34	223.158277955	-175.597847668	1069.90087712	145.326196019	388.527763138	844.386127261
35	224.803042054	-178.208735639	1073.15612722	144.862946056	388.913778662	844.347818122
36	226.426141782	-180.813275404	1076.42733653	144.401178693	389.301852932	844.311588063
37	228.028221828	-183.41138009	1079.71390208	143.940900938	389.69196926	844.277412605
38	229.60992688	-186.002962824	1083.01522093	143.482119798	390.084110958	844.245267267
39	231.171901625	-188.587936732	1086.33069013	143.024842281	390.478261339	844.21512757
40	232.714790753	-191.166214941	1089.65970671	142.569075393	390.874403714	844.186969033
41	234.23923895	-193.737710576	1093.00166773	142.114826143	391.272521397	844.160767178
42	235.745890905	-196.302336765	1096.35597023	141.662101536	391.672597701	844.136497523
43	237.235391307	-198.860006634	1099.72201127	141.210908582	392.074615937	844.11413559
44	238.708126808	-201.411600651	1103.09865198	140.761254286	392.478559418	844.093656899
45	240.162467865	-203.965557798	1106.48056612	140.313145656	392.884411457	844.075036969
46	241.595836708	-206.533871842	1109.86045809	139.8665897	393.292155366	844.05825132
47	243.005650055	-209.128557226	1113.23102087	139.421593424	393.701774458	844.043275474
48	244.389324621	-211.76162839	1116.58494741	138.978163836	394.113252044	844.03008495
49	245.74433985	-214.443685197	1119.91589181	138.536307944	394.526571439	844.018655267
50	247.069230431	-217.161529819	1123.23367774	138.096032754	394.941715953	844.008961948
51	248.363407531	-219.882198342	1126.5615591	137.657345274	395.358668901	844.00098051
52	249.626308901	-222.572127314	1129.92319715	137.220252512	395.777413593	843.994686476
53	250.857372294	-225.197753279	1133.34225316	136.784761473	396.197933343	843.990055364
54	252.056328717	-227.729064759	1136.83967807	136.350879167	396.620211463	843.987062695
55	253.225232664	-230.16419273	1140.41494884	135.918612599	397.044231266	843.98568399
56	254.367244419	-232.514661679	1144.0573226	135.487968778	397.469976063	843.985894767
57	255.48553102	-234.792077904	1147.75599401	135.05895471	397.897429169	843.987670548
58	256.583259505	-237.008047707	1151.50015776	134.631577404	398.326573894	843.990986853
59	257.663596913	-239.174177387	1155.27900853	134.205843865	398.757393553	843.995819201
60	258.729794881	-241.301964243	1159.08179233	133.781761102	399.189871456	844.002143113
61	259.791989248	-243.394035943	1162.90193251	133.359336122	399.623990917	844.00993411
62	260.872180885	-245.437733187	1166.74005207	132.938575932	400.059735248	844.01916771
63	261.993544937	-247.418883734	1170.59748659	132.519487539	400.497087762	844.029819435
64	263.177530081	-249.324583244	1174.47539191	132.10207795	400.93603177	844.041864804
65	264.419813285	-251.160853841	1178.37224104	131.686354174	401.376550587	844.055279338
66	265.696263743	-252.948264259	1182.28444504	131.272323217	401.818627523	844.070038557
67	266.98224293	-254.707756097	1186.20836211	130.859992086	402.262245892	844.086117981
68	268.253112321	-256.460270954	1190.14035044	130.449367789	402.707389007	844.10349313
69	269.484233394	-258.226750428	1194.07676822	130.040457333	403.154040179	844.122139524
70	270.650967624	-260.028136118	1198.01397365	129.633267726	403.602182721	844.142032683
71	271.728677325	-261.885369215	1201.94832487	129.227805974	404.051799945	844.163148129
72	272.701741451	-263.815005762	1205.87553236	128.824079085	404.502875165	844.185461379
73	273.585831648	-265.818382943	1209.7890589	128.422097832	404.955393775	844.208951694
74	274.403403653	-267.893538568	1213.68187996	128.021923255	405.409368978	844.233648231
75	275.176913199	-270.03851045	1217.54697103	127.623652203	405.864833783	844.259615694
76	275.928816023	-272.251336403	1221.3773076	127.22738229	406.321821624	844.286919547
77	276.68152907	-274.530014012	1225.16590226	126.833211132	406.780365934	844.315625257
78	277.444216904	-276.858798264	1228.91845268	126.441236345	407.240500149	844.345798289
79	278.193512372	-279.188209039	1232.67179552	126.051555545	407.702257703	844.377504108
80	278.901149322	-281.463686801	1236.46745595	125.664266347	408.165672028	844.410808182
81	279.546687397	-283.641793282	1240.33655071	125.279466366	408.630776561	844.445775974
82	280.13517451	-285.7153117	1244.2762969	124.89725322	409.097604734	844.482472952
83	280.67683896	-287.684387134	1248.2770216	124.517724523	409.566189982	844.52096458
84	281.181881584	-289.549192728	1252.3290689	124.140977891	410.03656574	844.561316325
85	281.657604355	-291.3128642	1256.42457335	123.767110939	410.50876544	844.603593651
86	282.105893757	-292.984071765	1260.55901446	123.396221284	410.982822518	844.647862025
87	282.528043005	-294.572091953	1264.72823814	123.028406541	411.458770407	844.694186913
88	282.925345312	-296.08620129	1268.92809033	122.663764326	411.936642542	844.742633779
89	283.299093891	-297.535676302	1273.15441696	122.302392254	412.416472357	844.793268091
90	283.650581957	-298.929793517	1277.40306396	121.944387941	412.898293285	844.846155312
91	283.981102724	-300.277829463	1281.66987725	121.589849003	413.382138762	844.90136091
92	284.291949404	-301.589060665	1285.95070277	121.238873055	413.868042221	844.95895035
93	284.584415213	-302.872763653	1290.24138644	120.891557714	414.356037097	845.018989097
94	284.859480152	-304.13765512	1294.53799239	120.548000594	414.846156822	845.081542617
95	285.113668653	-305.384487913	1298.83968856	120.208299312	415.338434833	845.146676376
96	285.340189677	-306.608088827	1303.14795256	119.872551483	415.832904562	845.21445584
97	285.532173252	-307.803143579	1307.46431693	119.540854723	416.329599445	845.284946474
98	285.682749408	-308.964337884	1311.79031426	119.213306648	416.828552914	845.358213743
99	285.785111209	-310.086414687	1316.12746229	118.890004873	417.329798405	845.434323115
100	285.841498897	-311.172330445	1320.47515087	118.571047014	417.833369351	845.513340053
101	285.872544517	-312.24173868	1324.82844413	118.256530686	418.339299186	845.595330024
102	285.901112461	-313.316319566	1329.18188117	117.946553506	418.847621345	845.680358495
103	285.950067127	-314.417753273	1333.53000106	117.641213089	419.358369262	845.768490929
104	286.042272907	-315.567719973	1337.86734289	117.34060705	419.871576371	845.859792793
105	286.192779012	-316.781705549	1342.18977985	117.044833006	420.387276106	845.954329553
