	0	1	2	3	4	5	6	7
0	36395.0	606.56667	379.431	-187.562	942.571	336.598	103.949	984.869
1	36354.5953226	605.893256759	450.578128843	-165.552683689	757.70404185	310.142881632	86.0282113959	958.469524014
2	36395.6902377	606.578167319	388.909862309	-186.060145191	950.855994205	337.684464346	99.2503381963	989.361631129
3	36419.1460653	606.969096868	355.930423545	-197.516044856	1062.32835067	353.640684039	106.034037013	1007.97011269
4	36397.3793229	606.60632198	396.740643356	-185.459282768	964.301581549	339.813229485	95.8558758333	994.972875931
5	36381.9838533	606.349734817	427.040130892	-176.718093709	896.019449241	330.350075082	88.3952944074	986.570178077
6	36397.5696579	606.609497689	406.656539813	-184.18842328	971.563927254	341.489925109	93.0231798912	1000.05888343
7	36410.2406204	606.820676609	391.161130121	-190.287714066	1033.80995439	350.770128995	96.7005842523	1011.69789113
8	36399.4257658	606.640426132	414.225185802	-184.273082984	987.448901937	344.60064241	91.5091453628	1007.03732335
9	36390.0367271	606.483942462	434.926739863	-179.043067113	947.957879923	339.507696565	87.0389878472	1003.53206949
10	36399.5325154	606.642208475	424.562437295	-183.644294121	996.186773342	347.051362282	90.0441125293	1013.48812718
11	36408.3755369	606.789595198	415.170274603	-187.892069692	1041.53645318	354.27951622	92.9900667225	1023.27169468
12	36401.4388038	606.673983454	431.615621292	-183.919692917	1013.94600729	351.17425706	89.9695778659	1022.25372374
13	36394.7028098	606.561713966	447.664732978	-180.071209279	987.494911654	348.329494955	87.1052202547	1021.58955959
14	36401.5120824	606.675198158	441.307690505	-183.303156462	1023.93103459	354.581520247	89.6060647666	1030.64818002
15	36408.4076919	606.790124509	434.622301067	-186.598392378	1060.84303547	360.993794682	92.321297974	1040.01170776
16	36403.4422912	606.707371285	447.447349089	-183.764781388	1043.02262705	359.629877868	90.5695378741	1041.24788795
17	36398.1968174	606.619950402	460.973896653	-180.906425553	1024.2645265	358.153011816	88.7576280454	1042.41343354
18	36403.4976193	606.708297123	457.229430003	-183.668499268	1054.54136931	363.71785417	91.1190665033	1051.11518054
19	36409.2154701	606.803591215	452.386812719	-186.650407232	1086.55794219	369.560536671	93.7945504805	1060.27703629
20	36405.4417984	606.740693428	462.572186207	-184.571485752	1074.32549527	369.069629886	92.8813759547	1062.90081199
21	36401.1506006	606.669173401	473.42293094	-182.169704728	1059.68860839	368.222403855	91.7527816278	1065.23068684
22	36405.4859425	606.741432101	470.327708761	-184.387490425	1085.20107898	373.139553548	93.9623756211	1073.71727187
