	RHX	RHY	RHZ	LHX	LHY	LHZ
0	-307.618888914	-247.054856757	842.354723051	-381.936826712	309.78240335	824.540432034
1	-305.220793996	-245.851800623	844.09502635	-379.165768977	309.472897676	825.929040287
2	-302.845206028	-244.698885573	845.899159341	-376.501034897	308.867005406	827.389785545
3	-300.491593089	-243.591816648	847.761513061	-373.920712491	308.052548885	828.90646684
4	-298.159423256	-242.526298888	849.676478549	-371.402932859	307.117053916	830.462918519
5	-295.848164606	-241.498037333	851.638446841	-368.929569616	306.122282966	832.046043275
6	-293.557285217	-240.502737023	853.641808977	-366.48908418	305.084648359	833.648144886
7	-291.286254545	-239.536193473	855.681056681	-364.070607787	304.015951415	835.262076287
8	-289.034571393	-238.596127824	857.752824684	-361.663271673	302.927993452	836.880690413
9	-286.801762651	-237.682104325	859.855798883	-359.256207073	301.832575791	838.496840199
10	-284.587356334	-236.793761182	861.988747488	-356.838545224	300.741499749	840.103378582
11	-282.39088046	-235.930736606	864.150438706	-354.40091694	299.664536016	841.693712135
12	-280.211863046	-235.092668804	866.339640746	-351.943274223	298.598833145	843.264688783
13	-278.049832109	-234.279195986	868.555121816	-349.469145046	297.536697347	844.814476687
14	-275.904315667	-233.48995636	870.795650124	-346.982064725	296.470424885	846.341246719
15	-273.774841734	-232.724588134	873.059993878	-344.485568577	295.392312027	847.843169751
16	-271.66093833	-231.982729517	875.346921287	-341.983191919	294.294655035	849.318416654
17	-269.56213347	-231.264018718	877.65520056	-339.478470067	293.169750177	850.765158301
18	-267.477955172	-230.568093946	879.983599903	-336.974938339	292.009893715	852.181565564
19	-265.407931452	-229.894593408	882.330887527	-334.476132051	290.807381916	853.565809314
20	-263.351622032	-229.243134877	884.695881339	-331.98558652	289.554511044	854.916060424
21	-261.308932751	-228.613113007	887.077941856	-329.506837062	288.243577365	856.230489765
22	-259.279982547	-228.003785087	889.476763656	-327.043418995	286.866877143	857.507268211
23	-257.264893473	-227.414406395	891.892046208	-324.598867635	285.416706643	858.744566632
24	-255.263787584	-226.844232208	894.323488982	-322.177450447	283.885365338	859.940115497
25	-253.276786936	-226.292517805	896.770791446	-319.788401304	282.265174454	861.088657878
26	-251.304013583	-225.758518464	899.23365307	-317.443017223	280.548464256	862.183695817
27	-249.34558958	-225.241489462	901.711773322	-315.152601933	278.727565037	863.218727323
28	-247.401636982	-224.740686079	904.204851672	-312.928459162	276.794807091	864.187250401
29	-245.472277844	-224.25536359	906.71258759	-310.781892638	274.742520712	865.08276306
30	-243.557634221	-223.784777275	909.234680543	-308.725173686	272.562988264	865.897796665
31	-241.657828167	-223.328182411	911.770830002	-306.787118449	270.247672586	866.608354056
32	-239.772981739	-222.884834277	914.320735435	-305.010421592	267.787350331	867.176571749
33	-237.90321699	-222.45398815	916.884096311	-303.34741399	265.19983707	867.628749712
34	-236.048655975	-222.034899308	919.4606121	-301.770927837	262.517476132	868.088208068
35	-234.20942075	-221.626823029	922.049982271	-301.621979077	259.458584439	868.174363859
36	-232.385633369	-221.229014592	924.651906293	-301.097823539	256.545414341	868.721573942
37	-230.577415888	-220.840729273	927.266083635	-299.753259811	253.967462711	869.981881751
38	-228.78489036	-220.461222351	929.892213766	-298.601268826	251.516019132	871.526844381
39	-227.008178842	-220.089749104	932.529996156	-297.511170189	249.229554418	873.289713106
40	-225.247403388	-219.72556481	935.179130273	-296.320600057	247.148004258	875.224508145
41	-223.502679593	-219.367943589	937.839322308	-295.019681701	245.248213968	877.294496954
42	-221.774038339	-219.016406676	940.510366599	-293.650592458	243.485491892	879.46610369
43	-220.061450903	-218.670649171	943.192119507	-292.255554325	241.815127894	881.705755222
44	-218.364887323	-218.330369796	945.884438681	-290.875673886	240.193369311	883.98047636
45	-216.684317634	-217.995267271	948.587181772	-289.521521761	238.602675533	886.273661483
46	-215.019711872	-217.665040319	951.300206431	-288.170146028	237.054281681	888.58667557
47	-213.371040076	-217.339387659	954.023370308	-286.797129317	235.560751919	890.921758284
48	-211.73827228	-217.018008013	956.756531053	-285.389164102	234.128287317	893.279170277
49	-210.121378521	-216.700600103	959.499546318	-283.948263698	232.754314025	895.656443072
50	-208.520328837	-216.386862649	962.252273752	-282.477559894	231.435617598	898.050908959
51	-206.935093263	-216.076494373	965.014571007	-280.980184476	230.168983587	900.459900227
52	-205.365641835	-215.769193996	967.786295732	-279.459269233	228.951197546	902.880749166
53	-203.811944592	-215.464660238	970.567305579	-277.917945954	227.779045027	905.310788063
54	-202.273971568	-215.162591822	973.357458198	-276.359346426	226.649311583	907.747349209
55	-200.7516928	-214.862687467	976.156611239	-274.787014056	225.557260481	910.188085116
56	-199.245078326	-214.564645896	978.964622353	-273.206495643	224.490745871	912.632206852
57	-197.754098181	-214.26816583	981.781349191	-271.623946594	223.435371079	915.079398963
58	-196.278722401	-213.972945989	984.606649403	-270.04552246	222.376738911	917.529346101
59	-194.818921025	-213.678685095	987.440380639	-268.476393904	221.302246373	919.981662896
60	-193.374664087	-213.38508187	990.282400551	-266.909405965	220.221744442	922.435087613
61	-191.945921624	-213.091835033	993.132566788	-265.329014748	219.160366471	924.887762064
62	-190.53271274	-212.79867698	995.990753824	-263.719515535	218.143538791	927.337816621
63	-189.135332793	-212.5055297	998.856930851	-262.065206651	217.196683283	929.783382145
64	-187.754173744	-212.212381477	1001.73110018	-260.358200004	216.333784215	932.223832499
65	-186.389627657	-211.919220667	1004.61326415	-258.615322622	215.532647606	934.662473295
