	RHX	RHY	RHZ	LHX	LHY	LHZ
0	864.810789846	-317.234732866	791.547745747	846.19369229	174.900414134	836.61094053
1	864.909427339	-314.111562472	792.635385362	846.095523386	178.178922618	837.476151657
2	865.045891572	-310.984260401	793.709344149	845.979922302	181.459761095	838.331389036
3	865.218648319	-307.85322	794.769794081	845.847123733	184.742546832	839.177736001
4	865.426163349	-304.718834617	795.81690713	845.697362374	188.026897096	840.016275881
5	865.666902434	-301.581497598	796.850855269	845.530872919	191.312429154	840.848092007
6	865.939331346	-298.441602293	797.87181047	845.347890061	194.598760272	841.674267712
7	866.241915857	-295.299542047	798.879944704	845.148648496	197.885507716	842.495886326
8	866.573121737	-292.155710208	799.875429945	844.933382918	201.172288754	843.314031181
9	866.931414758	-289.010500124	800.858438165	844.702328021	204.458720652	844.129785607
10	867.315260691	-285.864305143	801.829141335	844.455718499	207.744420676	844.944232935
11	867.723125308	-282.717518611	802.787711429	844.193789048	211.029006093	845.758456498
12	868.15347438	-279.570533876	803.734320417	843.91677436	214.31209417	846.573539625
13	868.604773678	-276.423744285	804.669140274	843.624909131	217.593302173	847.390565649
14	869.075488975	-273.277543187	805.59234297	843.318428055	220.872247369	848.2106179
15	869.564203322	-270.132314534	806.50416897	842.997565826	224.148547024	849.034779709
16	870.070624841	-266.988352178	807.405515774	842.662583172	227.421857658	849.864040544
17	870.595088335	-263.845899778	808.297646861	842.313922648	230.692109949	850.69873428
18	871.137935379	-260.705200451	809.181829664	841.952104342	233.95935148	851.538915235
19	871.699507549	-257.566497314	810.05933162	841.577648633	237.22363027	852.384636688
20	872.280146423	-254.430033486	810.931420162	841.191075897	240.48499434	853.235951918
21	872.880193576	-251.296052083	811.799362726	840.792906514	243.743491706	854.092914204
22	873.499990584	-248.164796222	812.664426746	840.38366086	246.99917039	854.955576825
23	874.139879023	-245.036509021	813.527879657	839.963859313	250.252078409	855.82399306
24	874.80020047	-241.911433597	814.390988894	839.534022251	253.502263783	856.698216188
25	875.481296502	-238.789813068	815.255021892	839.094670052	256.74977453	857.578299487
26	876.183508693	-235.67189055	816.121246085	838.646323092	259.99465867	858.464296236
27	876.907178621	-232.557909162	816.990928909	838.189501751	263.236964222	859.356259714
28	877.652647862	-229.44811202	817.865337797	837.724726405	266.476739204	860.2542432
29	878.420257992	-226.342742241	818.745740185	837.252517433	269.714031636	861.158299974
30	879.210361422	-223.242343126	819.633813573	836.773395211	272.948889537	862.068483313
31	880.02338824	-220.149609813	820.534174985	836.287880119	276.181360925	862.984846497
32	880.859802426	-217.068176408	821.452724127	835.796276462	279.411396882	863.907579708
33	881.720068103	-214.001680927	822.395366045	835.297661542	282.638398002	864.837650574
34	882.604649392	-210.953761384	823.368005783	834.790680092	285.861570813	865.7763008
35	883.514010415	-207.928055795	824.376548387	834.273976357	289.080121624	866.724772399
36	884.448615294	-204.928202177	825.426898902	833.746194583	292.293256743	867.684307386
37	885.40892815	-201.957838543	826.524962374	833.205979017	295.50018248	868.656147775
38	886.395413107	-199.020602911	827.676643848	832.651973904	298.700105142	869.641535581
39	887.408534285	-196.120133294	828.887848368	832.082823491	301.892231039	870.641712816
40	888.448755806	-193.260067709	830.164480981	831.497172023	305.075766479	871.657921495
41	889.516541793	-190.444044171	831.512446732	830.893663746	308.249917772	872.691403633
42	890.612356367	-187.675700695	832.937650666	830.270942906	311.413891226	873.743401243
43	891.73666365	-184.958675297	834.445997828	829.627653749	314.566893149	874.815156339
44	892.889648668	-182.297184196	836.042973235	828.962440522	317.708129851	875.907910936
45	894.069803858	-179.698950155	837.731514625	828.273947469	320.83680764	877.022907047
