	RHX	RHY	RHZ	LHX	LHY	LHZ
0	-2.60184869997	-39.5735204396	858.792790268	35.2307283616	240.158373973	830.288147362
1	-4.09659201666	-35.6490940397	862.791169155	34.1313543878	236.093258349	833.318190677
2	-5.55681886962	-32.8377598669	867.592455081	33.2695439114	232.869756016	837.281406285
3	-6.92338519773	-30.8742602878	872.88818412	32.4685140541	230.278230809	841.752063551
4	-8.15050710035	-29.5065913061	878.396655247	31.5918851381	228.136580343	846.39779456
5	-9.27365600159	-28.5633563837	883.998937053	30.6154870595	226.339170264	851.14552252
6	-10.3568730055	-27.9071202403	889.638981273	29.5380157967	224.802590954	855.968847104
7	-11.4301125071	-27.4635185177	895.289918572	28.3789614264	223.496576778	860.853262517
8	-12.4945291242	-27.2113433783	900.949400094	27.1653744962	222.410184581	865.788587667
9	-13.5503753553	-27.1310520501	906.615845059	25.9243163326	221.532498757	870.764647624
10	-14.5979036993	-27.2031017607	912.287672686	24.6828482621	220.8526037	875.771267461
11	-15.6373666547	-27.407949738	917.963302192	23.4680237465	220.359580025	880.798274668
12	-16.6690167203	-27.7260532098	923.641152798	22.299510767	220.038960593	885.837766732
13	-17.6931063947	-28.137869404	929.319643722	21.1758835213	219.866145462	890.888324523
14	-18.7098881767	-28.6238555483	934.997194183	20.0919746917	219.814737385	895.949678903
15	-19.7196145647	-29.1644688706	940.672223401	19.043144821	219.859402805	901.021528774
16	-20.7218428554	-29.7416027163	946.343380334	18.03086186	219.987115208	906.103203299
17	-21.7107241536	-30.3483182993	952.011100505	17.0605203147	220.192760488	911.193793929
18	-22.6778774111	-30.9829076417	957.676656225	16.1375795205	220.471355176	916.292388188
19	-23.6149071025	-31.6436926722	963.341324591	15.2674988124	220.817915801	921.398073602
20	-24.5134177025	-32.3289953191	969.006382698	14.4557375259	221.227458895	926.509937697
21	-25.3650136857	-33.0371375111	974.673107644	13.7077549962	221.695000987	931.627067997
22	-26.1612995268	-33.7664411766	980.342776524	13.0290105585	222.215558608	936.748552028
23	-26.8938797003	-34.5152282442	986.016666434	12.4249635482	222.784148288	941.873477315
24	-27.554358681	-35.2818206424	991.696054472	11.9010733006	223.395786559	947.000931384
25	-28.1343409434	-36.0645402997	997.382217732	11.4627991508	224.04548995	952.130001759
26	-28.6254309622	-36.8617091446	1003.07643331	11.1156004342	224.728274991	957.259775966
27	-29.019233212	-37.6716491057	1008.7799783	10.8649364861	225.439158214	962.38934153
28	-29.3078080899	-38.4931597305	1014.49367225	10.7162666417	226.173156148	967.517785976
29	-29.4869335724	-39.3289350609	1020.2146037	10.6750502364	226.925285324	972.644196831
30	-29.5542005139	-40.183568289	1025.93804182	10.7467466053	227.690562273	977.767661618
31	-29.5072119781	-41.061665397	1031.65924352	10.9368150838	228.464003525	982.887267864
32	-29.3435710284	-41.967832367	1037.37346569	11.2507150072	229.24062561	988.002103093
33	-29.0608807285	-42.9066751813	1043.07596525	11.6939057106	230.015445059	993.111254832
34	-28.6567441418	-43.8827998222	1048.7619991	12.2718405037	230.784600549	998.212830914
35	-28.1287643319	-44.9008122717	1054.42682414	12.989945346	231.549323964	1003.30049255
36	-27.4749894236	-45.964271628	1060.06608907	13.8536384415	232.312291466	1008.36664004
37	-26.6986686096	-47.06450291	1065.68002114	14.8683379937	233.076179311	1013.40367358
38	-25.8064195849	-48.1849076615	1071.27181294	16.0394622062	233.843663754	1018.40399339
39	-24.8049167725	-49.3087539905	1076.84470699	17.3724292823	234.617421053	1023.35999965
40	-23.700834595	-50.419310005	1082.40194581	18.8726574257	235.400127464	1028.26409259
41	-22.5008474754	-51.499843813	1087.94677192	20.5440662555	236.193256224	1033.10947554
42	-21.2116298364	-52.5336235224	1093.48242784	22.3696572278	236.981488091	1037.90056266
43	-19.8398561008	-53.5039172412	1099.0121561	24.3170656093	237.737168304	1042.65000338
44	-18.3922006914	-54.3939930774	1104.53919922	26.3535717	238.432357143	1047.37063737
45	-16.875076228	-55.1905615918	1110.06574103	28.4503130419	239.043800864	1052.07366602
46	-15.2938129179	-55.8945660188	1115.58958831	30.5975986471	239.571536207	1056.76214813
47	-13.6534612707	-56.5106273397	1121.10741677	32.7916824448	240.022822099	1061.43661751
48	-11.9590717959	-57.0433665407	1126.61590215	35.0288201799	240.404919674	1066.09760723
49	-10.215695092	-57.4974044522	1132.11172113	37.3052675972	240.725090066	1070.74565033
50	-8.42849556575	-57.8771632735	1137.59279594	39.6172804417	240.990594408	1075.38127988
51	-6.60297430184	-58.1864775929	1143.06073339	41.9611144583	241.208693835	1080.00502892
52	-4.74469434652	-58.4290738563	1148.51781843	44.3330253138	241.386649293	1084.61743056
53	-2.859218746	-58.6086785096	1153.96633597	46.7284679896	241.529802502	1089.21955699
54	-0.952110546492	-58.7290179986	1159.40857094	49.1401252868	241.636850325	1093.81434687
55	0.971067205792	-58.7938187692	1164.84680829	51.5600804644	241.705052533	1098.40514252
56	2.90475146464	-58.8068072674	1170.28333294	53.9804167815	241.731668899	1102.99528626
57	4.84337918384	-58.7717099389	1175.72042982	56.3932174969	241.713959194	1107.58812039
58	6.78138731719	-58.6922532297	1181.16038385	58.7905658697	241.64918319	1112.18698725
59	8.71321281847	-58.5721635857	1186.60547998	61.1645451588	241.53460066	1116.79522914
60	10.6332926415	-58.4151674528	1192.05800313	63.5072386232	241.367471374	1121.41618839
61	12.5359056735	-58.2250962041	1197.5201132	65.8107295218	241.145055106	1126.05320731
62	14.4141695736	-58.0065520558	1202.99305157	68.0677346761	240.865503055	1130.70940295
63	16.2606842547	-57.764480913	1208.47765006	70.2778129193	240.536593188	1135.38545958
64	18.0680472454	-57.5038302635	1213.97473865	72.4447009353	240.171981741	1140.08057598
65	19.828856074	-57.2295475952	1219.48514727	74.5721951512	239.785409012	1144.7939297
66	21.5357082692	-56.946580396	1225.00970588	76.6640919939	239.390615298	1149.52469827
67	23.1812013592	-56.6598761537	1230.54924443	78.7241718753	239.001317592	1154.27206211
