	0	1	2	3	4	5	6	7
0	31493.0	524.86667	172.215	22.817	849.456	162.258	209.931	821.307
1	31450.5921797	524.159869219	161.23361026	31.036497925	852.177399721	155.029676344	208.004537698	821.601564116
2	31504.4672636	525.057784041	176.477981704	20.6994488855	849.174195892	165.766141223	210.32283007	821.94089854
3	31514.9968999	525.233279181	179.877413453	18.7599058395	848.737407821	168.407071484	210.710068572	822.230493427
4	31483.1653565	524.702757653	171.920239327	24.8486369062	850.85167959	163.230182959	209.258798684	822.53884497
5	31485.4854857	524.741428605	173.204938284	24.4401716994	850.941877392	164.36040934	209.320939308	822.830277496
6	31508.0549427	525.11758372	179.900162693	20.2296199699	849.809242204	169.238305797	210.28167822	823.107454896
7	31501.1060468	525.001764669	178.688161111	21.6132322066	850.417213204	168.723036591	209.950794063	823.430103482
8	31487.0007545	524.766675694	175.564015046	24.3599618175	851.448429989	166.8777428	209.294595716	823.732543657
9	31497.8446438	524.94741069	179.051440438	22.4311387985	851.005371379	169.554481267	209.728540838	823.924629852
10	31507.149722	525.102498882	182.101073952	20.8020686028	850.658814666	171.934896947	210.097831931	824.086791535
11	31496.5186943	524.925314404	179.86687464	22.9066681032	851.480163528	170.688097571	209.5909178	824.307149112
12	31493.1995107	524.869990579	179.572833732	23.6135125937	851.841284305	170.768333114	209.426621629	824.512291101
13	31504.4962525	525.058267037	183.133195793	21.5559188596	851.328075532	173.474314482	209.95474621	824.663981204
14	31504.9971238	525.066616946	183.853903136	21.526290613	851.469779356	174.194547018	210.038485703	824.868042672
15	31496.2147264	524.920247862	182.151941858	23.2742018486	852.166318266	173.250657187	209.705197655	825.13920013
16	31499.8031453	524.980056129	183.711376089	22.7399330448	852.096444882	174.56796139	209.893745964	825.342602743
17	31507.6532857	525.110888617	186.397639125	21.401779517	851.724304286	176.60834336	210.233469248	825.45264796
18	31503.1485993	525.035806696	185.874770176	22.3523162636	852.084947778	176.345212076	209.987554342	825.585025119
19	31498.7954769	524.96325481	185.413762673	23.2831811192	852.518518325	176.097742409	209.753003464	825.758423407
20	31505.5120734	525.075202024	187.831121108	22.1849386427	852.388884344	177.843941165	210.045699447	825.894823464
21	31508.5104133	525.125177328	189.253405894	21.8192821141	852.50955657	178.85846157	210.170660075	826.011507057
22	31502.6520695	525.027536688	188.367001575	23.1369036697	853.184079463	178.235297784	209.876253174	826.173808474
23	31503.0728276	525.034545098	189.128785022	23.3287842951	853.625644067	178.775066215	209.890055755	826.343508201
24	31509.562911	525.142711376	191.476991126	22.4717143542	853.92821179	180.414970349	210.223908024	826.463416492
25	31508.2885372	525.121474623	191.816562259	23.1791229923	854.881927592	180.595066239	210.203028041	826.57498734
