	RHX	RHY	RHZ	LHX	LHY	LHZ
0	448.565642666	-81.5154020853	1270.77825606	415.908866718	179.823931685	1237.29234634
1	448.685289362	-80.9737828597	1277.65457862	416.193597358	181.48992665	1243.9086005
2	448.680650484	-80.365584355	1284.51129757	416.407158548	183.265776389	1250.52563002
3	448.566457408	-79.6839990981	1291.35086127	416.449500187	185.107193351	1257.13154372
4	448.35744151	-78.9222196158	1298.17571808	416.220572175	186.969889981	1263.71445044
5	448.068334164	-78.073438435	1304.98831636	415.647195485	188.823072065	1270.2638986
6	447.713866746	-77.1308480825	1311.79110447	414.835179108	190.72582439	1276.77902572
7	447.308770633	-76.0876410853	1318.58653076	413.957795054	192.770588673	1283.26230033
8	446.862296605	-74.9245983026	1325.37104124	413.026705084	194.953854684	1289.69946654
9	446.347267923	-73.540004724	1332.1011864	411.872292835	197.164505292	1296.05752087
10	445.721650274	-71.798498022	1338.71724471	410.460123197	199.323198923	1302.36210848
11	444.943365563	-69.5646167153	1345.15944668	410.158154968	201.511897186	1308.84650001
12	443.957864406	-66.6923718859	1351.35018237	415.068524584	201.592663737	1313.22146353
13	442.174213424	-62.5829946583	1356.44453427	417.132232675	199.189388244	1319.21164305
14	440.630015117	-57.0734524987	1360.18366517	417.749492187	197.483668263	1325.77305462
15	438.865851752	-50.7822232604	1362.38349246	417.850174866	196.466501753	1332.55727266
16	437.80500133	-45.6359269939	1366.68042579	417.980634233	196.086511403	1339.38422995
17	437.98133458	-43.5239342045	1373.16418541	418.16588408	196.196681376	1346.21853104
18	438.584929144	-42.6888430613	1379.99406603	418.338727693	196.632068384	1353.05133227
19	439.102450961	-42.1312338469	1386.80686567	418.433902039	197.231645262	1359.8740157
20	439.545004532	-41.743045839	1393.66075818	418.427799103	197.918745224	1366.68282599
21	439.960929968	-41.441856959	1400.52806006	418.336957123	198.69800629	1373.47869434
22	440.372842186	-41.1861523727	1407.39523622	418.179525998	199.57733349	1380.26274229
23	440.779226468	-40.9726847184	1414.2621181	417.967486042	200.553070197	1387.03605376
24	441.177639438	-40.7996794094	1421.1290516	417.697976029	201.593747103	1393.79962221
25	441.565637719	-40.6653618586	1427.99638258	417.365948414	202.663797789	1400.55442774
26	441.940777933	-40.567957479	1434.86445693	416.966428619	203.727822741	1407.30144919
27	442.300616704	-40.5056916837	1441.73362052	416.506992768	204.779131093	1414.04144309
28	442.642710653	-40.4767898858	1448.60421924	416.021844172	205.871976876	1420.77469464
29	442.964612086	-40.479481766	1455.47659825	415.531986817	207.040482543	1427.50178507
30	443.26237276	-40.5134801123	1462.3508567	415.019475336	208.253261353	1434.22413147
31	443.528349493	-40.5821497007	1469.22648795	414.460790322	209.469551554	1440.94327056
32	443.754340539	-40.6894073831	1476.10289375	413.832412369	210.648591391	1447.66073904
33	443.93214415	-40.8391700113	1482.97947588	413.114083084	211.756921276	1454.37748701
34	444.053558576	-41.0353544372	1489.85563611	412.300195199	212.793888899	1461.09182898
35	444.110420807	-41.2818665723	1496.73077651	411.389254291	213.768051566	1467.80133964
36	444.101949583	-41.5805274768	1503.60435899	410.379766151	214.687967059	1474.50359364
37	444.043443106	-41.9286168387	1510.47597578	409.270236568	215.562193161	1481.1961656
38	443.952316019	-42.3228165935	1517.34523624	408.059171331	216.399287655	1487.87663017
39	443.845942785	-42.7598403754	1524.21174622	406.745076232	217.207808324	1494.54256199
40	443.730336876	-43.245365094	1531.07410941	405.326457059	217.99631295	1501.1915357
41	443.584600648	-43.8062992321	1537.92855576	403.801819603	218.773359317	1507.82112593
42	443.383939922	-44.4726254517	1544.77097148	402.169667802	219.547500023	1514.42890655
43	443.103619431	-45.2736611146	1551.59727291	400.425697634	220.319427668	1521.01125346
44	442.721494069	-46.2094719585	1558.40469997	398.557144737	221.066152791	1527.56093324
45	442.218968086	-47.2400395867	1565.19230629	396.549657744	221.760243617	1534.07003544
46	441.577705106	-48.3224673565	1571.95927283	394.388885292	222.374268373	1540.53064957
47	440.787528562	-49.479503327	1578.69278658	392.060476014	222.880795286	1546.93486518
48	439.864464286	-50.9446907049	1585.34152008	389.549301104	223.25258169	1553.27465322
49	438.825591697	-52.9928883181	1591.84378147	386.791906504	223.474139851	1559.53461404
50	437.383271001	-55.8328298036	1597.94532703	383.594508744	223.56561601	1565.64075525
51	435.248495567	-59.7741044415	1603.16118597	377.87307066	224.211219738	1568.29996295
52	433.278626046	-65.4603508634	1606.5804639	377.559570199	223.521965487	1561.87450926
53	431.745908744	-72.065474519	1605.44780929	381.288856118	221.505029497	1556.49502949
54	432.624190559	-76.7443033509	1600.44305037	385.999027172	219.664950879	1551.89523578
55	435.657194087	-78.6071830434	1594.44149068	391.178769934	218.129378575	1547.71567139
56	439.76263232	-78.6488710709	1588.92291907	396.653869559	216.874879896	1543.8023069
57	444.341877741	-78.214824065	1583.80801711	402.291421636	215.866090617	1540.02226706
58	449.155621125	-77.5786548979	1578.93773821	407.959006507	215.06754496	1536.24305787
59	454.034649372	-76.7932051893	1574.14688895	413.55111649	214.438139357	1532.35335279
60	458.809749377	-75.9113165591	1569.27027592	419.002753693	213.92828384	1528.27368793
61	463.328300537	-74.9846103383	1564.1607802	424.252267944	213.487687125	1523.92723254
62	467.553727915	-74.0561733241	1558.79769325	429.237706617	213.066191732	1519.23728186
63	471.49899977	-73.1654486789	1553.21427474	433.851423009	212.633854865	1514.14616414
64	475.177269772	-72.3518659288	1547.44398632	437.898017445	212.206237929	1508.63776133
65	478.601691589	-71.6548546001	1541.52028963	441.385149499	211.934568618	1502.78014771
66	481.796899021	-71.1041785887	1535.47490241	444.581786593	212.12897318	1496.73800205
67	484.838466215	-70.6867128485	1529.33180426	447.694077045	213.132290622	1490.6896614
68	487.814570462	-70.3904524588	1523.11788466	450.355451553	215.455644498	1484.87039343
69	490.803070618	-70.2916622622	1516.89432797	452.36871515	219.280246478	1479.53954689
70	493.877538586	-70.5032784798	1510.7365662	455.247848872	223.122945846	1474.65457148
71	497.108020552	-71.1344690496	1504.71712428	460.080199323	225.639990703	1470.75954555
72	500.448835703	-72.166289641	1498.8111992	466.543793738	224.43813105	1469.24532704
73	503.715001366	-73.4255857705	1492.87683325	472.622128928	221.246518957	1469.24751539
74	506.732067792	-74.8126677461	1486.81255962	476.891146595	216.284335824	1470.82589484
75	509.445228864	-76.7530456771	1480.81857241	479.865193422	210.853635262	1473.82419646
76	512.186157807	-79.6616458804	1475.30360912	481.710367877	206.6961429	1478.81304195
77	516.310650666	-83.2870677756	1471.0199957	482.602121231	203.75468622	1484.93649962
78	519.33277491	-88.3614489023	1471.28846571	483.015391757	201.17817026	1491.27736415
79	519.31166149	-92.7293454091	1476.7140134	483.078367768	198.744023844	1497.66657842
80	519.619426165	-97.2127306863	1481.89621402	482.850425511	196.388178777	1504.07894546
81	520.069935361	-102.066371937	1486.75111387	482.390870461	194.046714323	1510.48931774
82	520.393370393	-107.1928157	1491.33983626	481.7503998	191.673646552	1516.87855656
83	520.244508282	-112.261782644	1495.96749445	480.962967793	189.257878182	1523.23921037
84	519.449494812	-116.992446593	1500.90874686	480.060601652	186.79232727	1529.56517275
85	518.323362065	-121.471802038	1506.01272639	479.074747843	184.271683063	1535.85108692
86	517.010032711	-125.7368299	1511.23705439	478.008910486	181.775855434	1542.12766366
87	515.555975029	-129.784951578	1516.60473548	476.833853683	179.442092533	1548.45142013
88	513.934223459	-133.596112601	1522.10533344	475.556144352	177.061546568	1554.74082764
89	512.038026705	-137.136704408	1527.68725711	474.16828938	174.471317462	1560.92461221
90	509.901839396	-140.474964279	1533.30717068	472.619304942	171.775999473	1567.02558611
