	RHX	RHY	RHZ	LHX	LHY	LHZ
0	165.124000321	-98.4989188344	1341.12314518	162.466118729	242.387059546	1127.38369248
1	165.659577831	-96.3705975716	1338.58745846	162.426528139	242.098315635	1128.42193205
2	165.73646734	-94.2883391518	1335.95990266	162.385514988	241.806736497	1129.45912539
3	165.678833524	-91.9963244447	1333.51423514	162.343096044	241.512482249	1130.49533033
4	165.579083928	-89.5787149878	1331.19084805	162.299288073	241.215713008	1131.53060468
5	165.36700045	-87.3695545467	1328.68846664	162.254107845	240.916588893	1132.56500627
6	165.174502846	-85.5875455827	1325.87260315	162.207572128	240.61527002	1133.59859291
7	165.250168726	-84.2290879473	1322.80964946	162.159697689	240.311916507	1134.63142243
8	165.689129233	-82.922274742	1319.74892439	162.110501297	240.006688472	1135.66355264
9	166.297833592	-81.4881927116	1316.78365038	162.059999721	239.699746032	1136.69504137
10	166.669099134	-80.0386242361	1313.80282445	162.008209727	239.391249305	1137.72594643
11	166.786245272	-78.6432179776	1310.75709352	161.955148084	239.081358407	1138.75632565
12	166.955112536	-77.1697543537	1307.75781092	161.900831561	238.770233458	1139.78623685
13	167.43803035	-75.4377283219	1304.94127965	161.845276924	238.458034573	1140.81573784
14	167.883343697	-73.5890766396	1302.17166361	161.788500944	238.144921871	1141.84488646
15	168.235888068	-71.7740575397	1299.3692467	161.730520386	237.83105547	1142.87374051
16	168.810250121	-70.0975314398	1296.54996618	161.671352021	237.516595486	1143.90235781
17	169.837688531	-68.6133794213	1293.73697933	161.611012615	237.201702037	1144.9307962
18	171.035140419	-67.1125550604	1290.97368723	161.549518937	236.886535241	1145.95911348
19	171.771929681	-65.5021992711	1288.17735213	161.486887755	236.571255215	1146.98736748
20	171.992735371	-63.7570790384	1285.34931045	161.423135837	236.256022077	1148.01561603
21	169.860471882	-61.8915187464	1285.62954225	161.358279951	235.940995944	1149.04391693
22	168.11399671	-60.6153762589	1288.11215676	161.292336865	235.626336934	1150.07232801
23	168.301971905	-60.059978145	1291.16110518	161.225323348	235.312205164	1151.10090709
24	167.284058434	-61.121700702	1294.07087707	161.157256167	234.998760752	1152.12971198
25	166.011078985	-61.8853264673	1297.08279088	161.088152091	234.686163815	1153.15880052
26	164.926203682	-62.4876153321	1300.18558001	161.018027887	234.374574471	1154.18823052
27	164.511148874	-62.9115317281	1303.4651557	160.946900324	234.064152837	1155.2180598
28	165.195172575	-63.0786421056	1306.76403333	160.87478617	233.755059032	1156.24834619
29	167.911754299	-63.1911044421	1308.31673541	160.801706755	233.447435831	1157.27914042
30	169.155827073	-65.4839847649	1309.1847166	160.727767921	233.141104804	1158.31036222
31	168.08254758	-68.5054425521	1309.52733013	160.653150027	232.835604293	1159.34181578
32	167.528223015	-71.0259268316	1311.68121325	160.578035986	232.530462932	1160.37330133
33	166.960855639	-72.3661993307	1314.64491538	160.50260871	232.225209359	1161.4046191
34	166.131997971	-72.8083786641	1317.86409208	160.427051114	231.919372208	1162.43556933
35	165.242800422	-73.0900305852	1321.07977338	160.351546109	231.612480117	1163.46595224
36	164.45455892	-73.324333599	1324.32781807	160.27627661	231.304061721	1164.49556806
37	163.672525661	-73.6736222993	1327.57093523	160.201425527	230.993645656	1165.52421704
38	162.633256396	-74.3585984294	1330.67700058	160.127175776	230.680760558	1166.55169939
39	161.657549904	-74.9993887327	1333.8145455	160.053710268	230.364935062	1167.57781535
40	160.856421437	-75.4603523655	1337.03895764	159.981195886	230.04575348	1168.60239436
41	160.045891546	-75.8765991398	1340.26454975	159.909588498	229.723532983	1169.62565035
42	159.159773804	-76.2400056939	1343.4745285	159.838695123	229.399107693	1170.64806846
43	158.196094009	-76.5549301482	1346.66816243	159.768319663	229.073322568	1171.67013952
44	157.189720984	-76.8344367349	1349.8535712	159.698266019	228.747022563	1172.69235436
45	156.176000198	-77.0917023195	1353.03898896	159.628338091	228.421052636	1173.7152038
46	155.189684585	-77.3398067751	1356.23250318	159.558339781	228.096257741	1174.73917868
47	154.243389617	-77.5882062753	1359.43672095	159.488074989	227.773482837	1175.76476981
48	153.321482021	-77.8417329342	1362.64725602	159.417347615	227.45357288	1176.79246804
49	152.406490921	-78.1049180668	1365.85926721	159.346273761	227.13675952	1177.82245669
50	151.480945519	-78.3822929673	1369.0679134	159.276273254	226.820713275	1178.85363509
51	150.533493431	-78.6767752239	1372.26995176	159.209106187	226.502436225	1179.88456739
