	RHX	RHY	RHZ	LHX	LHY	LHZ
0	425.64532861	278.312582121	553.653981953	156.233777735	277.748294945	592.621249765
1	427.826888671	279.938238044	553.057522146	155.736365589	280.142070061	592.291520734
2	429.995447339	281.639577004	552.618342447	155.180426095	281.96992639	593.450206373
3	432.151004614	283.416599003	552.336442857	154.656149311	283.231022185	595.527335898
4	434.293560497	285.26930404	552.211823376	154.275859024	283.94375323	597.771704479
5	436.423114988	287.197692114	552.244484004	153.934437883	284.476266558	600.066679883
6	438.539668086	289.201763226	552.434424741	153.591769858	284.968377636	602.369199712
7	440.626741228	291.254730651	552.802806369	153.247854948	285.420086464	604.679263968
8	442.587170631	293.198649821	553.474400789	152.902693155	285.831393041	606.99687265
9	444.405043634	295.007653914	554.469642087	152.556284477	286.202297368	609.322025758
10	446.080360238	296.68174293	555.788530261	152.211006677	286.546546706	611.652973206
11	447.613120442	298.220916868	557.431065311	151.873676206	286.903551008	613.984697938
12	449.003324246	299.62517573	559.397247239	151.54471678	287.275760035	616.316888089
13	450.253982155	300.899300115	561.673841577	151.2241284	287.663173786	618.649543658
14	451.413450022	302.120077825	564.048271389	150.911911066	288.065792263	620.982664646
15	452.498581201	303.314271536	566.44644772	150.608064777	288.483615464	623.316251052
16	453.509375693	304.48188125	568.868370571	150.312589533	288.91664339	625.650302876
17	454.445833497	305.622906965	571.31403994	150.025068045	289.36215499	627.98396175
18	455.307954614	306.737348682	573.783455829	149.743461046	289.806852695	630.313032886
19	456.095739043	307.8252064	576.276618237	149.467495855	290.248958416	632.636955377
20	456.809186785	308.88648012	578.793527164	149.197172473	290.688472152	634.955729223
21	457.448297839	309.921169842	581.33418261	148.932490899	291.125393904	637.269354424
22	458.013229973	310.92935041	583.898533128	148.673451133	291.559723671	639.57783098
23	458.53207326	311.924347715	586.477418568	148.420053175	291.991461453	641.88115889
24	459.025530874	312.915983312	589.064087641	148.163038269	292.39631028	644.179411461
25	459.493602814	313.904257202	591.658540347	147.773540179	292.43609736	646.473608964
26	459.93628908	314.889169385	594.260776688	147.210213367	292.002323088	648.764078747
27	460.353589673	315.87071986	596.870796662	146.473057832	291.094987465	651.050820809
28	460.745504592	316.848908628	599.488600271	145.599527486	289.796237203	653.335349984
29	461.112033838	317.823735688	602.114187513	145.084333023	289.191108701	655.637674984
30	461.45317741	318.795201041	604.747558389	145.08120765	289.616781099	657.964013592
31	461.768935309	319.763304687	607.388712898	145.582452729	291.056397244	660.310058919
32	462.059307534	320.728046625	610.037651042	146.210121796	292.68239498	662.464374503
33	462.324727741	321.686822104	612.693544877	146.75463831	294.035879649	664.309715902
34	462.566375963	322.632543278	615.354141473	147.211009693	295.107084202	665.866971018
35	462.784318797	323.564810124	618.019313679	147.415854636	295.576383544	667.819693026
36	462.978556243	324.483622641	620.689061495	147.290206859	295.28929486	670.498260297
37	463.149088302	325.388980829	623.363384921	147.061722855	295.175271778	673.301273188
38	463.295914974	326.280884688	626.042283957	147.056886495	296.536646928	675.368134095
39	463.419036258	327.159334218	628.725758603	147.315810699	298.491023519	676.656941431
40	463.518452155	328.024329419	631.413808859	147.856977352	300.599938285	677.150342797
41	463.594162664	328.875870292	634.106434725	148.661316385	302.84151008	676.91843064
42	463.646167786	329.713956835	636.803636201	149.581796837	305.047034455	676.501620356
43	463.67446752	330.53858905	639.505413287	150.587533584	307.181073582	676.013430877
44	463.679061867	331.349766936	642.211765983	151.678526626	309.24362746	675.453862201
45	463.659950827	332.147490492	644.922694288	152.855517794	311.232766596	674.822178897
46	463.617134399	332.93175972	647.638198204	154.139790853	313.093132152	674.097280775
47	463.550624955	333.701691172	650.358403489	155.541117944	314.7993069	673.269479979
48	463.460660861	334.440263525	653.085733143	157.059499067	316.351290841	672.338776511
49	463.347333568	335.140946519	655.821116754	158.694934222	317.749083973	671.305170369
50	463.210643074	335.803740155	658.564554323	160.215092862	319.201434414	670.15188507
51	463.050589381	336.428644431	661.316045848	161.318869164	320.993428975	668.891061778
52	462.867172487	337.015659348	664.075591331	162.794267623	322.53763581	668.628542736
53	462.660392393	337.564784907	666.84319077	164.126050061	322.915045641	670.806314905
54	462.4302491	338.076021106	669.618844167	164.005676743	323.849196915	673.050164856
55	462.208990426	338.570456035	672.398469597	164.282661612	324.294343019	675.337584536
56	462.066075159	339.09351146	675.173274977	165.476056409	323.946994693	677.682828532
57	462.003858027	339.64672723	677.942962247	166.797677691	323.427437924	680.051291088
58	462.02233903	340.230103343	680.707531406	167.309060659	323.474227382	682.40176824
59	462.121518167	340.8436398	683.466982455	167.008455903	324.088739821	684.734183179
60	462.301683342	341.487331944	686.221214954	166.245836946	325.020453201	687.058963749
61	462.655774771	342.159676273	688.937805254	165.992020692	325.574426288	689.405036503
62	463.257960884	342.859472958	691.590878539	166.303820367	325.709990391	691.774094254
63	464.108241681	343.586721999	694.180434809	167.156230936	325.444487854	694.165282086
64	465.206617162	344.341423395	696.706474063	167.822660922	325.281849198	696.553758039
65	466.551474259	345.126197472	699.164925705	167.967793771	325.454634606	698.928057733
66	468.07999619	346.043086047	701.397270718	167.591629482	325.962844077	701.288181169
67	469.75986152	347.144593206	703.321945523	166.711250304	326.796300827	703.634316433
68	471.591070251	348.430718948	704.93895012	165.906376291	327.609635454	705.972846613
69	473.573622382	349.901463275	706.248284509	165.461028268	328.233641974	708.306898961
70	475.703676127	351.543469306	707.263809061	165.375206235	328.668320385	710.636473477
