	RHX	RHY	RHZ	LHX	LHY	LHZ
0	491.404843064	-185.922882273	939.185086676	393.689217347	306.538228909	905.179318251
1	496.851003173	-181.851945633	943.194485111	400.843197909	302.032232604	908.035709795
2	502.32694148	-178.051174197	947.417201624	407.833564278	297.342113014	910.994086273
3	507.714833036	-174.256777355	951.759332424	414.681102849	292.535344003	914.102895108
4	513.022379521	-170.350039221	956.101028825	421.504999543	287.846114655	917.418135872
5	518.508312316	-166.517300287	960.283235352	428.649933951	283.900290701	921.01525626
6	523.963314944	-162.552528835	964.36981161	435.861891579	280.381077333	924.932412972
7	529.099190225	-158.213832539	968.49485073	442.843089067	276.771121481	929.140667901
8	534.052600623	-153.691776853	972.668736007	449.581696812	272.411567931	932.989576203
9	539.00616106	-149.222519742	976.887402465	449.040240853	273.091592549	929.882103017
10	543.989765387	-144.848165424	981.156714726	442.744089889	276.162394691	924.407106421
11	548.881535142	-140.395888278	985.463385565	436.451656838	279.155011316	918.89146641
12	553.668459288	-135.757440326	989.690121946	429.526934588	282.676467528	914.461254584
13	558.362630748	-130.841095077	993.697790602	422.681680488	286.169680032	909.94275591
14	562.924805957	-125.507480451	997.313208625	415.850893331	289.831058815	905.524565252
15	566.772773495	-119.151816209	999.976134743	409.055618982	293.638798228	901.200569058
16	570.246934482	-112.235929	1001.34603952	402.266666212	297.422562943	896.862610375
17	571.977103164	-104.890647759	999.45787006	394.986471418	301.500346704	893.639281871
18	570.942081429	-99.4983808197	993.83866972	387.943465444	305.428701688	889.835584428
19	568.411535691	-96.4159239912	987.081960021	380.775173349	309.393697802	886.328941397
20	565.056669198	-94.7878720697	980.09536413	373.465573153	313.622216456	883.414319136
21	561.310854394	-93.9047871879	973.238565985	366.19576336	317.987823347	880.647327101
22	557.309783063	-94.4213971702	966.433778485	358.863445324	322.411512316	878.138539747
23	552.963701883	-95.4485011096	959.943076834	351.592294335	326.890451007	875.524088559
24	548.51914243	-97.0807967723	953.641546649	344.295671762	331.533509201	873.38607939
25	544.05126586	-99.404839608	947.548196695	336.880903797	336.228723651	871.742489557
26	539.556324415	-102.379382968	941.766219788	329.576581291	340.94612677	869.741626251
27	535.031905068	-105.962050459	936.39422758	322.404885998	346.012128332	868.153858944
28	530.500544568	-110.089439206	931.445285274	315.156461756	351.068789487	866.907312264
29	526.006880753	-114.679522747	926.856682789	308.086460668	356.427809178	865.937619055
30	521.600599285	-119.671470301	922.592652509	300.938240907	361.713550097	865.23275922
31	517.346319661	-125.08059179	918.720493226	293.406596103	366.481766639	864.831241927
32	513.305711335	-130.934898408	915.32931976	286.646111764	372.300824618	864.729271709
33	509.324948119	-137.127545656	912.486327462	279.920313615	378.179858717	864.904106136
34	505.190818428	-143.48983733	910.245625542	273.306135476	384.152551758	865.380835149
35	501.426199428	-150.222804282	908.687036326	266.861712226	390.271366195	866.157423304
36	498.035128298	-157.251064701	907.522991995	260.581353833	396.516292131	867.223114134
37	494.655698821	-164.318237967	906.374870444	254.459370267	402.867319667	868.567151168
38	491.411494518	-171.457546964	905.439886131	248.490071499	409.304438907	870.178777939
39	488.520586555	-178.758410003	905.025776184	242.6677675	415.807639951	872.047237977
40	486.087490602	-186.260370918	905.287158911	236.986775386	422.35712725	874.161858698
41	483.795798894	-193.818048805	905.810901645	231.441575575	428.938001719	876.513883742
42	481.441404619	-201.33299462	906.327190837	226.02681116	435.540242182	879.096465714
43	479.116622841	-208.833605391	906.95457026	220.737132262	442.154038099	881.902839647
44	476.935816348	-216.357697262	907.840461854	215.567188998	448.76957893	884.926240578
45	474.986364305	-223.919819179	909.091181118	210.511631487	455.377054136	888.159903542
46	473.280453613	-231.470638463	910.6989397	205.56510985	461.966653177	891.597063574
47	471.806167072	-238.974418559	912.63518259	200.722274206	468.528565513	895.230955711
48	470.537506149	-246.426426555	914.869923853	195.977774672	475.052980604	899.054814986
49	469.44757939	-253.823895522	917.373086818	191.326235592	481.530222805	903.061800615
50	468.509495346	-261.164058531	920.114594812	186.761442997	487.955003464	907.24260596
51	467.696362563	-268.444148654	923.064371163	182.2761802	494.327281317	911.584974922
52	466.986699372	-275.660256396	926.197125081	177.863171519	500.647323803	916.076477887
53	466.386283798	-282.80271492	929.511681661	173.515141277	506.915398362	920.704685237
