	RHX	RHY	RHZ	LHX	LHY	LHZ
0	309.865785874	-319.663075492	897.628446814	373.211836982	410.717074517	872.429314266
1	315.33480814	-315.093244689	895.183040354	375.655121791	404.064765215	869.693346707
2	320.841119573	-310.512326666	892.900859882	378.425668237	397.494184683	867.206891697
3	326.384720172	-305.920321426	890.781905397	381.523476322	391.00533292	864.969949236
4	331.965609937	-301.317228967	888.8261769	384.948546045	384.598209926	862.982519324
5	337.583788869	-296.70304929	887.033674391	388.700747208	378.272775382	861.244545744
6	343.239256967	-292.077782394	885.404397869	392.618236977	371.978909277	859.68614903
7	348.932014232	-287.44142828	883.938347335	396.556644807	365.671902476	858.244993786
8	354.662060663	-282.793986947	882.635522788	400.516429698	359.352108519	856.921545956
9	360.42939626	-278.135458396	881.495924228	404.553209453	353.062366119	855.772264431
10	366.234021024	-273.465842627	880.519551657	408.705355861	346.832230529	854.836101287
11	372.073616359	-268.785100884	879.705592536	412.972868923	340.661701749	854.113056524
12	377.915227309	-264.092682326	879.042498018	417.355748639	334.550779779	853.603130142
13	383.748147186	-259.388407991	878.526516015	421.853995009	328.49946462	853.306322141
14	389.572375988	-254.672277879	878.157646525	426.467608033	322.507756271	853.222632522
15	395.387913715	-249.94429199	877.935889549	431.191419745	316.578094155	853.35094054
16	401.194760369	-245.204450324	877.861245088	435.988530099	310.727896105	853.683243923
17	406.992915947	-240.45275288	877.93371314	440.851689947	304.960583918	854.217970595
18	412.782380452	-235.68919966	878.153293706	445.780899289	299.276157594	854.955120555
19	418.563153882	-230.913790662	878.519986786	450.764586001	293.670044175	855.883899048
20	424.335507599	-226.137103339	879.024565883	455.776180993	288.131744347	856.979521782
21	430.099856166	-221.375296988	879.652935571	460.814633766	282.660842983	858.241008827
22	435.856204018	-216.628544481	880.404945056	465.879944319	277.257340085	859.668360183
23	441.604551154	-211.896845819	881.280594338	470.972112653	271.921235651	861.26157585
24	447.343163835	-207.178168135	882.280518868	476.091138767	266.652529681	863.020655827
25	453.057193349	-202.455100846	883.410161001	481.237022662	261.451222177	864.945600116
26	458.743238315	-197.723655723	884.670767413	486.409764338	256.317313137	867.036408715
27	464.401298733	-192.983832765	886.062338105	491.600195878	251.260864033	869.2854554
28	470.031374602	-188.235631973	887.584873076	496.789392854	246.302643776	871.676998101
29	475.638294462	-183.511461474	889.258067797	501.976780535	241.443283113	874.210558737
30	481.22917965	-178.859118147	891.110969983	507.162358922	236.682782042	876.886137306
31	486.804094447	-174.279033444	893.143841843	512.338603745	232.005649735	879.70347312
32	492.363038855	-169.771207367	895.356683375	517.475456124	227.350001514	882.661524744
33	497.905322555	-165.333700994	897.747506181	522.569787796	222.709396966	885.760183795
34	503.414793751	-160.921148205	900.269786435	527.62159876	218.083836091	888.999450274
35	508.884655452	-156.514458055	902.903946007	532.632408972	213.478415753	892.379846757
36	514.314907659	-152.113630543	905.649984895	537.635057387	209.003254783	895.912663656
37	519.705550372	-147.718665668	908.5079031	542.642864524	204.703020863	899.602480719
38	525.056884784	-143.339098244	911.481139698	547.655830384	200.577713995	903.449297944
39	530.370575093	-139.027611434	914.588696781	552.673954965	196.627334178	907.453115332
40	535.646876129	-134.792272348	917.833484042	557.67704041	192.800923268	911.59370931
41	540.885787892	-130.633080984	921.215501482	562.612770415	188.966489962	915.818696968
42	546.087310382	-126.550037343	924.734749101	567.47846357	185.117269206	920.125393483
43	551.251443599	-122.543141424	928.391226899	572.274119878	181.253261	924.513798855
44	556.378187544	-118.612393229	932.184934876	576.999739336	177.374465344	928.983913085
