,key,handstrat,participant,melody,sex,age,score,genre,proc,qommax,qommin,qomav,handdistmax,handdistmin,handdistav,zmax,zmin,distlh,distrh,melcat
40,40,6,28,23,F,41,662,jo,syn,2221.4198679,11.8321595662,1750.83046764,806.5201951,272.201136958,482.929499826,1645.01787972,750.680181513,5313.5309903,6493.30528673,7
41,41,3,2,27,F,53,989,sc,syn,2543.68025538,11.8321595662,2399.18941487,834.881441804,521.860622324,717.660679714,1748.62312802,1044.54340051,2833.59074896,2933.19873474,11
42,42,2,20,18,F,20,499,im,syn,2197.68077599,11.8321595662,2081.15483404,736.361943252,188.896636995,322.322451649,1534.05675517,789.42786716,1722.86295797,3049.74815846,2
43,43,2,18,25,M,30,992,sc,syn,2002.71134617,11.8321595662,1793.27398385,1033.96027469,193.419104788,676.838640956,1338.84923516,914.169486493,2984.46682788,4845.92099873,9
44,44,1,18,26,M,30,992,sc,syn,2600.00339342,11.8321595662,2032.74543603,1542.6005511,283.192207425,896.826375175,2200.03848886,-189.789556366,2042.55660656,16814.6117279,10
45,45,1,28,19,F,41,662,im,syn,1826.47466884,11.8321595662,1492.10197378,954.199466919,156.63800359,569.631110506,1535.35416635,744.603126594,3897.13384847,1218.59713694,3
46,46,3,8,20,F,20,262,im,syn,2413.94547797,11.8321595662,1803.54254962,591.460482711,209.328841942,374.49254217,1641.31481737,804.670904549,3214.95837784,3263.97821538,4
47,47,3,1,20,M,23,465,im,syn,2832.46443549,11.8321595662,2258.01189498,1407.9240673,390.63135177,970.769987128,1974.09282404,863.010424685,6385.65992298,5604.27444757,4
48,48,4,3,12,F,29,972,sc,norm,2383.45749779,11.8321595662,1927.45483281,418.490626225,120.429673712,169.825023253,1663.14701514,814.978267626,3221.13156161,3538.70876925,12
49,49,3,18,23,M,30,992,jo,syn,2212.89483022,11.8321595662,1823.40736069,1043.75106674,138.251984962,561.479378879,1457.29915979,801.274364862,2979.09987753,3901.01689561,7
50,50,1,2,5,F,53,989,jo,norm,2028.37588045,11.8321595662,1670.8161715,1076.16561915,442.170338379,772.97324283,1720.49650418,783.601662159,846.631835405,4021.53146609,5
51,51,2,18,13,M,30,992,vo,norm,2515.95866791,11.8321595662,1914.26733221,1209.08594625,181.298694714,614.046697848,1811.49973192,808.320059019,2594.68402989,4298.06243955,13
52,52,1,20,10,F,20,499,sc,norm,2116.57010843,11.8321595662,1855.19790774,1182.05045105,575.649692176,938.340596353,1765.46042922,798.361405415,673.595965965,3914.85899817,10
53,53,1,6,19,M,37,973,im,syn,2149.52826522,11.8321595662,1817.59909795,1192.16238794,496.566907771,930.610873613,1829.91298804,857.243110796,574.227560154,2844.39994975,3
54,54,1,20,31,F,20,499,vo,syn,1877.92480775,11.8321595662,1763.94494415,934.761788023,615.861821567,834.49557522,1523.81780609,789.383368496,537.555042084,1974.4850814,15
55,55,1,6,24,M,37,973,jo,syn,1913.63881767,11.8321595662,1695.73934276,910.988742353,478.387242985,750.223281064,1523.81500877,859.223997693,290.604391541,2051.88557268,8
56,56,4,9,30,F,31,913,vo,syn,3226.08086683,11.8321595662,2476.24580795,2163.33394306,206.348924051,385.09409625,2295.96831637,53.5511365069,16174.0878102,5349.77477885,14
57,57,1,6,6,M,37,973,jo,norm,2013.16198999,11.8321595662,1688.99677153,1028.15590359,497.547832262,768.941573873,1621.5292316,838.915959214,110.962314196,2647.59519221,6
58,58,3,8,25,F,20,262,sc,syn,2344.39646165,11.8321595662,2009.23162437,599.155283592,220.728401789,419.01113636,1713.03514998,822.893127,3659.1843199,6008.21384913,9
59,59,3,8,17,F,20,262,im,syn,2194.15533628,11.8321595662,1808.63554951,648.800352668,182.465101883,359.856840733,1508.70702546,778.439058392,3345.63928727,4520.45995722,1
60,60,3,8,14,F,20,262,vo,norm,2567.62121272,11.8321595662,2096.80981673,1402.77675448,191.294380313,704.208943177,1782.06185038,817.293326809,4745.61845201,4889.98237138,14
61,61,4,3,2,F,29,972,im,norm,2083.55632452,11.8321595662,1922.3977343,376.149493347,137.265537571,173.370509203,1396.14914583,810.397229413,1955.06573388,2163.71592708,2
62,62,3,8,28,F,20,262,sc,syn,2393.14166053,11.8321595662,1916.2098158,1426.37666356,246.962976465,577.334243076,1679.87899673,725.626035088,4821.96230616,4755.61887545,12
63,63,4,3,31,F,29,972,vo,syn,1782.00472193,11.8321595662,1638.76134188,513.765320156,109.819370315,209.866368253,1192.09969765,800.974,1695.1321517,2029.71867254,15
64,64,3,10,30,F,24,438,vo,syn,1961.32779658,11.8321595662,1751.79136171,537.276339497,312.163371056,399.618111283,1287.12585147,791.216809853,4017.02298414,5206.0392853,14
65,65,2,18,6,M,30,992,jo,norm,1778.25117868,11.8321595662,1603.667336,844.488826701,222.676712211,617.776140846,1251.22177007,842.899383801,1423.2557873,1801.07375326,6
66,66,1,6,32,M,37,973,vo,syn,1852.57032828,11.8321595662,1648.44141585,849.124530349,460.775010409,680.063676232,1426.36689251,850.924712974,214.92296796,2760.14049258,16
67,67,1,6,16,M,37,973,vo,norm,2190.32261367,11.8321595662,1700.6841803,1150.47224031,464.724392124,713.1565061,1846.77051384,852.673720778,146.912415618,2602.42289723,16
68,68,1,20,12,F,20,499,sc,norm,1904.65085981,11.8321595662,1819.67663105,965.395474284,604.275163034,822.583864901,1600.28271553,728.108044371,231.441341712,3342.49218448,12
69,69,2,28,25,F,41,662,sc,syn,2084.65326133,11.8321595662,1687.82146358,1610.87384223,428.912098334,706.28354827,1552.96677695,-115.304569612,8770.64434255,3412.69477159,9
70,70,2,20,30,F,20,499,vo,syn,2256.66240834,11.8321595662,2169.82861028,867.391905526,186.582137274,478.609360562,1549.90667097,796.700579996,3099.16824482,3728.41279599,14
71,71,6,9,7,F,31,913,jo,norm,1690.50658576,11.8321595662,1523.56347954,588.191981923,355.217948063,498.054754639,1186.47173092,722.663421128,2958.41043566,3135.58353552,7
72,72,2,9,15,F,31,913,vo,norm,2389.55186768,11.8321595662,1907.38143557,1153.38374699,111.016333719,588.601852482,1806.8059407,879.669498026,3077.42931138,4505.63848513,15
73,73,6,1,27,M,23,465,sc,syn,2315.96856822,11.8321595662,2062.57330965,1105.10059517,150.75193087,412.070376253,1516.38723201,972.874827433,3739.60768429,4525.65537509,11
74,74,4,3,10,F,29,972,sc,norm,2383.30000117,11.8321595662,1876.2176665,326.946597691,102.220020122,173.774011057,1627.29651992,940.921991319,2288.95800633,2091.3578825,10
75,75,3,2,2,F,53,989,im,norm,2566.20315078,11.8321595662,2379.28681746,902.886392448,437.514226774,737.423414958,1706.97178657,1068.7748445,3187.36358418,2995.74436238,2
76,76,3,2,19,F,53,989,im,syn,2756.35074584,11.8321595662,2050.10591567,1096.95473208,550.365781333,800.815635754,1863.34029741,822.801206168,3759.50770195,3629.70236474,3
77,77,2,8,2,F,20,262,im,norm,2392.39835914,11.8321595662,1868.14737039,660.566691599,248.030549168,470.836700311,1877.96897082,807.075083212,2050.33172222,3283.54888293,2
78,78,1,20,7,F,20,499,jo,norm,1667.62920571,11.8321595662,1569.54792026,774.497421363,510.382643829,595.880488839,1137.37968402,799.984305325,809.401107798,2005.70016051,7
79,79,1,2,1,F,53,989,im,norm,2285.6072736,11.8321595662,2053.1802725,406.111117008,209.596492112,258.363239134,1510.96730694,1142.47828359,1069.98977029,1083.72141221,1
