Time_s   F0_Hz
0.060476   173.5151155
0.070476   179.0158105
0.080476   185.3955955
0.090476   190.431844
0.100476   192.458702
0.110476   192.0889175
0.120476   189.4115915
0.130476   184.5577735
0.140476   178.525123
0.150476   172.8495805
0.160476   166.9656325
0.170476   161.8978905
0.180476   159.1008195
0.190476   157.6258955
0.200476   156.9502495
0.210476   156.703933
0.220476   156.5758425
0.230476   156.253212
0.240476   155.366774
0.250476   153.563165
0.260476   150.7761445
0.270476   147.2356285
0.280476   142.637667
0.290476   136.456836
0.300476   132.1866435
0.310476   131.003859
0.320476   133.4056285
0.330476   139.71964
0.340476   148.188448
0.350476   155.1108535
0.360476   171.460436
0.370476   197.949023
0.380476   217.685651
0.390476   230.2402995
0.400476   238.543254
0.410476   246.8958705
0.420476   251.843191
0.430476   252.569843
0.440476   250.974469
0.450476   248.296167
0.460476   245.960048
0.470476   245.173206
0.480476   246.655297
0.490476   250.680713
0.500476   256.57444
0.510476   262.711623
0.520476   267.724104
0.530476   270.873016
0.540476   271.925185
0.550476   271.073498
0.560476   268.986897
0.570476   266.842017
0.580476   266.012554
0.590476   267.518693
0.600476   271.628993
0.610476   277.708623
0.620476   284.490542
0.630476   290.768135
0.640476   295.865165
0.650476   299.543303
0.660476   301.620961
0.670476   301.885104
0.680476   300.557843
0.690476   298.532146
0.700476   296.94605
0.710476   296.974795
0.720476   299.464456
0.730476   304.263903
0.740476   311.090679
0.750476   321.414898
0.760476   331.800577
0.770476   336.812736
0.780476   338.361969
0.790476   336.834534
0.800476   333.289174
0.810476   329.64037
0.820476   327.913337
0.830476   329.446484
0.840476   335.032278
0.850476   343.960769
0.860476   353.354717
0.870476   363.491882
0.880476   374.632842
0.890476   381.006216
0.900476   382.984956
0.910476   381.65343
0.920476   378.434572
0.930476   375.128461
0.940476   373.420322
0.950476   374.480562
0.960476   378.943199
0.970476   386.788655
0.980476   396.847165
0.990476   407.356809
1.000476   417.073968
1.010476   424.216406
1.020476   427.712774
1.030476   427.589539
1.040476   424.636562
1.050476   420.348264
1.060476   416.581317
1.070476   414.974955
1.080476   416.492029
1.090476   421.286419
1.100476   428.6564
1.110476   437.13949
1.120476   444.966811
1.130476   450.599877
1.140476   453.150167
1.150476   452.634554
1.160476   450.040472
1.170476   447.124943
1.180476   445.941539
1.190476   448.204215
1.200476   454.754215
1.210476   465.15486
1.220476   477.608759
1.230476   489.563157
1.240476   498.743699
1.250476   503.8362345
1.260476   504.6043395
1.270476   501.7570155
1.280476   496.713333
1.290476   491.2965405
1.300476   487.235118
1.310476   485.654277
1.320476   486.8054445
1.330476   490.074657
1.340476   494.2049805
1.350476   497.699367
1.360476   499.297083
1.370476   498.399258
1.380476   495.275115
1.390476   490.958199
1.400476   486.8249115
1.410476   484.0472055
1.420476   483.2257365
1.430476   484.2964515
1.440476   486.6244395
1.450476   490.370286
1.460476   500.3278965
1.470476   461.376861
1.444966   489.424665
1.454966   490.550097
1.464966   490.434129
1.474966   488.769058
1.484966   485.478267
1.494966   480.740717
1.504966   474.956766
1.514966   468.647711
1.524966   462.077718
1.534966   455.173036
1.544966   448.181962
1.554966   442.122485
1.564966   437.306153
1.574966   433.437408
1.584966   430.2055
1.594966   427.321557
1.604966   424.548353
1.614966   421.697805
1.624966   418.623669
1.634966   415.234933
1.644966   411.555452
1.654966   407.774398
1.664966   404.253789
1.674966   401.475261
1.684966   399.945284
1.694966   400.09085
1.704966   402.159611
1.714966   406.157427
1.724966   411.8356
1.734966   418.694678
1.744966   426.040367
1.754966   433.225763
1.764966   439.724469
1.774966   445.266712
1.784966   449.763427
1.794966   453.246909
1.804966   455.806382
1.814966   457.565933
1.824966   458.67991
1.834966   459.363351
1.844966   459.90426
1.854966   460.6377
1.864966   461.900023
1.874966   463.930153
1.884966   466.798244
1.894966   470.376644
1.904966   474.360003
1.914966   478.169119
1.924966   480.88285
1.934966   481.578066
1.944966   479.693529
1.954966   475.029387
1.964966   467.885471
1.974966   458.660475
1.984966   445.78148
1.994966   427.651154
2.004966   408.479324
2.014966   389.320723
2.024966   369.79017
2.034966   353.210149
2.044966   338.846727
2.054966   320.6804
2.064966   306.334172
2.074966   295.240727
2.084966   283.642128
2.094966   260.047771
2.104966   238.902653
2.114966   226.311391
2.124966   214.566812
2.134966   207.535222
2.144966   203.440651
2.154966   201.133799
2.164966   200.10359
2.174966   199.97921
2.184966   200.332796
2.194966   200.758521
2.204966   200.98793
2.214966   200.921132
2.224966   200.617333
2.234966   200.230603
2.244966   199.911159
2.254966   199.748223
2.264966   199.832381
2.274966   200.086635
