,key,handstrat,participant,melody,sex,age,score,genre,proc,qommax,qommin,qomav,handdistmax,handdistmin,handdistav,zmax,zmin,distlh,distrh
54,54,6,10,7,F,24,438,jo,norm,1782.42751646,1220.9572212,1615.49748062,561.5000901,358.668632472,471.263255093,1232.20854692,792.715302418,2271.42464752,3243.63402561
55,55,4,3,4,F,29,972,im,norm,2196.39611243,1166.00735855,1864.16536992,583.868084111,118.900607615,251.756081759,1545.24793981,759.568898934,4712.28829806,4684.6382051
56,56,3,25,4,M,64,879,im,norm,2763.87546629,1631.22876903,2271.14630274,957.444240447,278.163046196,544.13637325,1876.02770061,971.279367006,3361.43451638,3976.7591894
57,57,6,9,12,F,31,913,sc,norm,2254.3029498,1158.27531306,1752.56345317,643.100246071,93.8475420647,296.093925546,1657.93596711,728.337013761,3406.31994505,2662.75870168
58,58,2,20,28,F,20,499,sc,syn,2015.07515533,1336.67577388,1794.97330893,684.379802686,186.921229718,309.997067951,1413.67883211,841.491452256,1146.73167018,1573.18285207
59,59,2,3,22,F,29,972,jo,syn,1958.96523777,1563.75059783,1772.79051494,599.462514623,81.540814405,306.683812336,1418.37610854,999.185504308,1447.70287764,1741.23699668
60,60,6,28,23,F,41,662,jo,syn,2209.20151589,1201.93610373,1709.5971919,722.669993377,269.933463533,481.032189822,1645.28610408,774.049597286,4650.07317149,5875.89693815
61,61,2,26,12,M,34,924,sc,norm,2048.66653866,1694.35836374,1894.42960911,602.771010024,370.486994071,470.961387172,1427.63703451,1120.28339351,1688.69101738,1513.39627025
62,62,4,26,24,M,34,924,jo,syn,2133.24251573,1655.09410422,1945.65082597,509.909476684,280.160466762,382.023141349,1457.09128805,1101.85814927,2929.2071801,3087.63890943
63,63,3,2,27,F,53,989,sc,syn,2523.27331744,1696.2139714,2310.61924796,804.008390814,539.965637126,708.844361429,1747.04618656,1091.35299995,1832.90457442,1890.74108119
64,64,3,5,26,M,30,563,sc,syn,2586.70057541,1448.87520804,2253.99643032,1054.73064374,240.498958568,718.924364215,1742.12095815,920.399982497,6175.1996342,5809.51888636
65,65,1,4,2,M,26,958,im,norm,2013.7263125,1282.66952294,1643.44470981,1201.56446193,591.416049451,936.062525202,1712.80388997,795.224490746,1094.26443211,4407.46682783
66,66,3,22,22,F,28,524,jo,syn,1637.45343788,825.477810654,1300.05840088,1255.533236,271.155220885,882.32645001,1072.42250925,301.531504729,1904.3545185,2111.37488181
67,67,2,20,18,F,20,499,im,syn,2085.40183779,1476.25340267,1870.9714056,708.743645909,217.606757703,461.036401503,1534.00812967,801.635637645,1312.23041717,2343.33969583
68,68,2,18,25,M,30,992,sc,syn,1918.43504084,1391.42110385,1757.62035849,990.498280747,258.496579821,617.38962351,1338.97948973,922.835378327,2481.12669322,3725.72326563
69,69,2,7,32,M,25,839,vo,syn,2037.82926749,1552.14580971,1928.63135962,883.16743819,507.792628584,627.307824331,1439.48635607,1015.9583836,1656.1203978,1416.05426868
70,70,1,28,19,F,41,662,im,syn,1823.22814783,1179.10076296,1546.24550035,956.085503297,187.425572821,588.616367367,1535.25377085,772.442944972,2977.44191649,413.597616364
71,71,3,8,20,F,20,262,im,syn,2292.66545687,1297.26008395,1752.39259103,592.707140913,206.850551563,349.02794368,1641.30403879,804.967737643,3003.76269108,3079.04773185
72,72,3,1,20,M,23,465,im,syn,2823.06051263,1439.87864819,2293.38112159,1406.25912666,434.286113404,1010.03999585,1973.67464219,864.723751777,5340.53666917,4726.36401961
73,73,4,3,12,F,29,972,sc,norm,2329.47485205,1250.09570235,1946.79556962,389.074972135,103.444968984,176.942013106,1663.09843429,838.175270338,2993.72315285,2746.63291756
74,74,3,18,23,M,30,992,jo,syn,2136.97055656,1294.82599501,1807.09741023,1001.17175858,184.938681701,573.67996134,1457.16579195,837.507534801,2099.46695372,2445.87885557
75,75,1,2,5,F,53,989,jo,norm,2022.60346031,1279.15298598,1695.55565276,1073.39359479,469.049089965,791.571162378,1720.14610426,820.829614424,734.787312564,2178.94652275
76,76,2,18,13,M,30,992,vo,norm,2457.97656804,1218.89357423,1885.75166104,1215.92532118,181.595640363,671.523542981,1811.42235271,818.422731334,2056.70784897,3391.04943227
77,77,1,20,10,F,20,499,sc,norm,2050.432029,1338.54027672,1693.72757135,1188.33430348,541.222906279,841.93814467,1765.43270781,798.662809172,466.37234813,3664.92199424
78,78,4,7,4,M,25,839,im,norm,1865.22319935,1298.60575739,1568.0892371,582.06385805,340.079023627,438.801324431,1287.21606946,870.044295009,1146.10722439,1064.40417939
79,79,1,6,19,M,37,973,im,syn,2141.47714712,1310.06057342,1774.86491735,1204.16720931,512.834309541,903.84809192,1829.92933694,861.266818256,207.808808343,2370.63838046
80,80,2,21,9,F,49,965,sc,norm,2813.87625435,1123.9878993,2061.32954567,1398.25729387,285.769085344,735.786776265,1853.79125235,747.752173964,7051.9867936,6298.39013215
81,81,1,20,31,F,20,499,vo,syn,1851.27626008,1405.23850778,1686.09106405,942.360311843,630.935571853,813.75454358,1523.56290146,789.47079871,445.788054538,1786.92026258
82,82,3,5,18,M,30,563,im,syn,2129.54613824,1236.27843288,1753.07286369,1100.88137051,357.659497373,650.745929082,1408.94353943,809.153604015,2366.70188515,2441.84838571
83,83,1,6,24,M,37,973,jo,syn,1862.1001676,1300.10813159,1609.19666258,910.212411273,484.595960348,723.288086262,1523.87990582,859.742270123,181.963034235,1842.50589623
84,84,1,25,24,M,64,879,jo,syn,2229.82014253,1238.32151022,1860.35143676,1112.52293004,484.73414736,790.288552032,1860.26303673,767.077894781,1084.56982349,4667.62027551
85,85,4,9,30,F,31,913,vo,syn,2696.50262677,1287.96433036,2206.61050634,2246.75420938,233.976413747,928.225046387,2192.45730748,-50.4775239106,9549.97331378,4844.51553397
86,86,4,22,14,F,28,524,vo,norm,1614.73523694,749.144244309,1365.21227397,443.573698373,305.878551414,361.190566246,1040.27897969,307.678881824,1877.20587622,2026.51013727
87,87,1,4,9,M,26,958,sc,norm,1908.72048149,1368.86229619,1663.5253606,943.279688354,580.036250459,804.863294715,1615.82623255,823.556350387,1466.74958156,3945.08880071
88,88,1,6,6,M,37,973,jo,norm,1955.41062494,1295.16995155,1660.67924047,1027.84864191,507.655982059,812.750607183,1621.36830005,857.39043668,101.640268104,1807.03362687
89,89,3,8,25,F,20,262,sc,syn,2265.46747448,1308.75128463,1913.74260005,619.042033898,200.183775073,460.540486213,1710.89660517,829.159808958,3350.60408167,5865.93341829
90,90,3,25,23,M,64,879,jo,syn,2654.56444343,1227.02075444,2102.49828485,1289.5253675,324.550828701,757.532781865,1840.07880825,773.958414702,4021.02265884,3955.42434054
91,91,3,8,17,F,20,262,im,syn,2130.57678073,1331.73707806,1758.17527459,640.527652533,188.943639282,356.23127405,1508.5217987,791.482144063,3084.67750314,3749.81930148
92,92,4,7,6,M,25,839,jo,norm,1625.39895047,1300.54542673,1513.6770908,599.157074932,481.002115125,532.657193147,1189.12113814,870.819074475,739.601343046,870.243261192
93,93,3,8,14,F,20,262,vo,norm,2559.3807649,1306.89826066,1919.12427138,1392.88171012,201.823414789,638.006606952,1782.06572775,817.4017324,4262.71929236,4420.62824106
94,94,4,3,2,F,29,972,im,norm,1995.21044744,1271.35132974,1789.59563709,363.657490073,122.900696606,177.052972026,1396.08350064,837.227473638,1582.98124856,1712.85243539
95,95,3,8,28,F,20,262,sc,syn,2377.36046193,1184.95142255,1797.93539692,1376.13927208,304.618751744,611.666313023,1679.44905526,725.58564816,4654.48962635,4561.58870109
96,96,4,3,31,F,29,972,vo,syn,1703.61744396,1201.41669076,1504.7260463,502.904391836,95.2985423856,227.891574893,1191.50264916,801.015096835,1615.18427219,2001.38610352
97,97,3,10,30,F,24,438,vo,syn,1915.31450235,1236.83750407,1727.18769614,532.91656336,310.88891473,398.343926044,1287.09104606,792.117872092,3844.2744205,5042.48440645
98,98,2,18,6,M,30,992,jo,norm,1778.5721881,1264.80635351,1562.87760193,808.303358256,222.684958981,575.959734764,1251.19996925,844.651674124,1305.80998661,1560.20816699
99,99,4,5,13,M,30,563,vo,norm,2380.65041867,1245.95327757,1813.25407414,639.040551902,203.2532584,288.180341064,1646.09769104,805.940086824,1775.79404146,1807.85370453
100,100,1,25,11,M,64,879,sc,norm,2103.86376472,1698.39243844,1919.32020981,1198.77445295,794.002142584,1007.22407631,1849.36360963,765.432453754,355.996865748,2261.47196964
101,101,2,21,4,F,49,965,im,norm,1924.13546632,1173.38974602,1644.36379283,1040.00287139,270.365808419,564.116027794,1474.53728674,771.083715261,3399.90145821,2990.51778526
102,102,1,6,32,M,37,973,vo,syn,1794.04235831,1297.22106965,1604.48045611,848.531207879,461.437877022,695.912002846,1426.14897569,864.926561941,166.584745803,2449.60666406
103,103,1,6,16,M,37,973,vo,norm,2127.6206631,1297.27815551,1733.91835663,1147.77171387,466.124050767,801.560683958,1847.04200198,853.815399294,132.045500364,2347.80529311
104,104,1,20,12,F,20,499,sc,norm,1886.20531443,1355.42666288,1690.09457233,964.21572656,648.201181204,787.805951094,1598.2125599,805.083639167,209.241064213,1708.85936733
105,105,2,22,21,F,28,524,jo,syn,1534.77163292,728.060177419,1189.7670551,619.821284421,218.525229342,462.40831362,1199.60836687,266.893596588,1004.63051149,1640.41182968
106,106,2,20,30,F,20,499,vo,syn,2182.82238402,1425.20418184,2044.67627679,741.232266925,188.213567172,526.809377824,1509.72351452,867.351461174,1978.72961693,2351.33322095
107,107,2,5,21,M,30,563,jo,syn,2393.50296102,1697.31583993,2084.19988115,309.402458662,127.043271186,239.799043731,1637.45482352,1144.4919939,3115.31861949,3276.60583997
108,108,6,9,7,F,31,913,jo,norm,1652.62875356,1100.93468462,1489.68119231,640.226876002,355.425685263,488.313064465,1186.5050993,731.875365572,2712.69136293,3047.82007671
109,109,3,25,30,M,64,879,vo,syn,2408.63116331,1489.68854793,2017.29608728,987.721020642,528.378789651,716.203155549,1634.59885481,902.95383891,3062.21964177,3211.9372028
110,110,2,9,15,F,31,913,vo,norm,2308.13552522,1562.11044313,1948.14354199,1140.67876627,197.121727292,611.069653943,1806.65913519,879.800889003,2046.29182393,3102.07352333
111,111,2,22,19,F,28,524,im,syn,1529.10841738,755.377936707,1255.62888208,594.471158059,297.017293228,431.546550969,1012.14639782,295.337115065,1114.84790467,1309.26215495
112,112,6,1,27,M,23,465,sc,syn,2256.13710877,1638.00388706,2013.46085472,1102.45544969,152.440065235,444.937549934,1516.15744313,981.523024585,3221.18675718,3082.81091858
113,113,4,3,10,F,29,972,sc,norm,2309.57372335,1393.1833874,1859.26300199,304.119069928,101.912340589,189.72111998,1627.21687772,944.536077868,2050.6969686,1947.90176285
114,114,3,2,2,F,53,989,im,norm,2506.78529048,1681.73744758,2285.00096232,866.506047738,456.749446236,735.318275775,1705.78538787,1083.98499996,2824.88618716,2703.1059872
115,115,3,2,19,F,53,989,im,syn,2677.05899843,1313.20573812,2095.27666551,1015.81650048,550.355025094,792.360886055,1863.39496393,827.506279815,3615.84040997,3603.86133458
116,116,2,8,2,F,20,262,im,norm,2371.19862578,1324.57779959,1748.06228734,683.6558465,370.575433669,574.897164922,1877.95505129,810.787795063,1740.30733556,2920.61216854
117,117,1,4,6,M,26,958,jo,norm,1750.55524617,1277.36697146,1522.44625864,844.812394056,462.545642423,647.344024406,1415.63912297,826.256526034,301.874241005,2008.04976119
118,118,4,22,17,F,28,524,im,syn,1962.1471474,736.727817155,1452.52059781,731.036548424,212.994965703,377.092807206,1244.23319975,309.103216654,3101.10941362,2761.4628612
119,119,1,20,7,F,20,499,jo,norm,1550.0254445,1354.51223127,1465.86476103,783.615029877,535.937370773,630.6679243,1137.0728157,814.578842402,644.493123345,1607.70361435
120,120,1,2,1,F,53,989,im,norm,2217.98943584,1782.54974431,1984.31736735,389.263550613,216.220954624,257.832246286,1510.80801943,1154.91418429,808.495237601,820.262618759
121,121,2,18,27,M,30,992,sc,syn,2159.97279938,1464.18102455,1886.24002647,921.838298373,209.809490397,576.096057425,1479.1151144,862.785326398,1885.87394557,2382.9094058
122,122,1,20,1,F,20,499,im,norm,1864.39586748,1341.69592803,1601.4301851,975.813147773,545.201084571,750.795749017,1578.12696962,773.249903047,411.952510718,3175.1377208
123,123,2,9,20,F,31,913,im,syn,2142.40550799,1202.18617362,1751.26181046,533.803183623,188.820865594,351.248175767,1516.02243816,753.427061958,1734.91498687,3038.65155072
124,124,1,6,22,M,37,973,jo,syn,2134.02898786,1391.38980558,1814.48576732,1122.3883716,546.2121058,859.225194677,1830.59890187,884.753428615,613.862174233,5318.05112696
125,125,2,18,4,M,30,992,im,norm,2102.88125778,1390.44908038,1870.2100752,963.753184701,218.902449335,661.405083444,1522.83467807,884.783611416,986.550323776,1633.488799
126,126,1,4,12,M,26,958,sc,norm,2039.46219294,1512.94714605,1756.30652205,813.740540343,636.955486341,714.295888666,1571.14594338,802.706488935,1302.58170239,1501.21536055
127,127,4,8,30,F,20,262,vo,syn,2362.97497795,1308.01500935,1906.74189094,628.477972947,204.309485865,412.924060332,1680.04753578,829.086286128,4259.14888787,5113.86779396
128,128,2,7,21,M,25,839,jo,syn,2047.354816,1230.06401091,1683.33697389,1538.80613502,414.201890269,780.995547002,1428.79463081,-213.587046416,7500.6397658,3462.71174426
129,129,3,8,22,F,20,262,jo,syn,2452.72679127,1330.30551051,1814.27159855,630.912209267,257.095092695,452.514765723,1773.07533308,815.145725721,2517.3410788,2754.51182286
130,130,4,9,4,F,31,913,im,norm,2046.49674447,1163.62206456,1680.86556138,803.080494941,202.765152767,509.924438878,1501.64425203,725.589891708,2808.14547631,2507.46182229
131,131,2,8,12,F,20,262,sc,norm,2310.90256377,1317.53728573,1755.28552918,1002.72488684,270.90321068,591.22733861,1791.4463719,788.181662749,2518.53365933,3510.79497433
132,132,2,22,20,F,28,524,im,syn,1847.97066013,715.650940207,1351.91605899,676.52023874,199.835963387,433.260338112,1314.09499596,280.318815209,2229.52156201,2189.1851431
133,133,1,20,20,F,20,499,im,syn,1768.8215455,1366.25971901,1603.31269517,954.016066015,617.709459184,795.21412165,1424.00886224,786.086178671,303.387927628,1595.343177
134,134,1,18,15,M,30,992,vo,norm,2297.14558018,1282.27564311,1809.61840836,1162.32960973,182.864853128,844.564899857,1821.28965811,809.419745387,1724.30571056,4211.21866479
135,135,1,6,15,M,37,973,vo,norm,2351.57855656,1302.88106392,1838.90392067,1311.1978285,513.723041641,877.700753795,2122.01146643,852.333652817,515.096746081,3814.93015412
136,136,2,20,14,F,20,499,vo,norm,1926.76627039,1655.38177908,1843.99083537,647.957961461,167.933442976,351.740448571,1414.86875014,984.123379648,1199.45034395,1267.22652748
137,137,3,7,23,M,25,839,jo,syn,2456.12704842,1365.87403336,1949.00124056,645.448960146,269.874882208,407.059501023,1690.83896665,913.530529213,2480.86805182,2241.22048066
138,138,4,9,18,F,31,913,im,syn,2094.19370431,1476.80918602,1999.51825022,463.675739312,170.041937942,305.89278811,1445.80610707,971.454001872,3008.63057392,3508.04151268
139,139,3,25,28,M,64,879,sc,syn,2565.33601436,1233.87332449,2094.36477396,1043.98517096,286.923896098,661.132481028,1758.15206024,778.16903325,3046.52978429,3150.56098773
140,140,2,1,12,M,23,465,sc,norm,2048.69006691,1647.08229796,1939.61214454,529.332693027,132.756138096,238.230896453,1295.66370256,946.647262318,907.740282122,801.160161001
