	key	handstrat	participant	melody	sex	age	score	genre	proc	qommax	qommin	qomav	handdistmax	handdistmin	handdistav	zmax	zmin	distlh	distrh
13	13	2	28	14	F	41	662	vo	norm	1995.4433680354	11.8321595662	1775.0593165871	935.299412754	137.4128412714	691.6136171803	1573.9804379	746.72317784	4308.8482574163	4550.0435473146
14	14	4	9	1	F	31	913	im	norm	2519.9850807439	11.8321595662	1936.2476878028	689.2715833065	175.9597775345	315.6684571625	1766.7020994	485.713127966	4961.6174071265	4903.8763122806
15	15	2	2	31	F	53	989	vo	syn	2946.234462552	11.8321595662	2275.616336157	1599.3404357347	266.3947005781	597.6196687705	2506.7505433	757.70404185	1750.342180959	7303.8444203924
16	16	4	9	26	F	31	913	sc	syn	2560.0236801277	11.8321595662	1981.5793453479	589.7209846496	174.7364005319	279.9123821779	1802.61287055	675.087411415	5559.2304376049	6853.182869766
17	17	3	3	24	F	29	972	jo	syn	2457.6198491039	11.8321595662	2182.7286834661	905.7349889406	593.1352524419	757.5299377638	1701.41136776	693.498186076	4053.040204495	4389.6599045521
18	18	3	2	25	F	53	989	sc	syn	2981.957829753	11.8321595662	2108.9007570675	671.1869540245	199.7389859361	434.9159667532	2199.60883499	802.289838579	3676.4567636488	4548.5583931712
19	19	3	8	16	F	20	262	vo	norm	2483.2196707277	11.8321595662	1915.8090445296	639.9468824928	242.3377807434	441.7674165549	1707.77308106	810.726322981	3309.3384127363	3506.8133240664
20	20	3	2	12	F	53	989	sc	norm	2829.3071067131	11.8321595662	2319.9955183084	552.1951252236	350.0147249231	420.85307471	1954.35128468	906.239017484	3039.6096847084	2500.6119178557
21	21	2	28	13	F	41	662	vo	norm	2102.9193327936	11.8321595662	1678.2391523107	922.0296136826	409.93300015	683.7975498911	1588.42657545	756.317543138	2303.6295978399	3603.5750552748
22	22	1	18	30	M	30	992	vo	syn	2035.3093851619	11.8321595662	1782.5666803238	1004.1133813104	112.8116192331	730.4869137886	1552.2717117	826.137208336	1877.0207028519	4407.2920349505
23	23	2	8	18	F	20	262	im	syn	2355.2811809069	11.8321595662	1672.3969790957	659.6015185638	204.2609206665	451.0807050381	1662.93313541	801.316584869	4195.2093727302	3839.82905556
24	24	1	6	30	M	37	973	vo	syn	2244.6276448888	11.8321595662	2001.2138882172	1194.5326855384	509.7067084988	996.342700734	1865.39451028	884.95694114	377.9738867446	3560.217541582
25	25	1	18	32	M	30	992	vo	syn	2292.9016426408	11.8321595662	1967.7832751837	1139.0818358458	279.5399869661	735.7727467045	1513.74567721	817.149291052	3481.3424297188	6031.4240247824
26	26	2	20	32	F	20	499	vo	syn	2345.6130715613	11.8321595662	2021.2574132292	747.9476691527	182.5826873399	571.4299091854	1599.7184123	782.321327222	3249.8830154136	3274.0634809943
27	27	4	28	30	F	41	662	vo	syn	2267.4945105046	11.8321595662	1764.0988694149	998.9836878056	424.0992014263	698.1533940563	1571.25045039	767.639227544	4788.0402073426	5087.8299194943
28	28	2	18	7	M	30	992	jo	norm	2070.508979783	11.8321595662	1753.6668219824	1016.3357183924	188.1352163239	622.7851534908	1567.93112656	809.02210652	2230.1691000167	4309.4934408326
29	29	4	9	10	F	31	913	sc	norm	2529.9632828495	11.8321595662	2102.0180407486	642.6786340449	156.471244299	301.4885960374	1738.52517659	779.50740087	4405.8442878493	5249.872238272
30	30	3	9	5	F	31	913	jo	norm	2399.9574734055	11.8321595662	2012.1092686732	1017.6972441405	178.0076174659	430.9433022015	1846.60973122	800.815695657	3616.9179889652	4875.734505891
31	31	5	28	6	F	41	662	jo	norm	2081.7217562876	11.8321595662	1688.9989462189	952.3005756515	394.908986192	696.9613652696	1603.21857736	750.713259995	2277.6865355725	3571.8851562408
32	32	2	20	19	F	20	499	im	syn	2349.0587778689	11.8321595662	2215.4338518706	662.4309220203	152.3324840643	383.3259031031	1658.75658207	690.170830098	3727.3822329758	3827.4571221682
33	33	1	20	29	F	20	499	vo	syn	1832.2171367183	11.8321595662	1716.4097864336	891.5393288618	611.1422638209	806.405617132	1491.39340077	743.290375811	557.8647931493	3491.4018881027
34	34	2	28	3	F	41	662	im	norm	2089.3783850684	11.8321595662	1746.618214692	946.2557854751	419.1946408229	497.7898249222	1518.74057738	-74.4144881993	4263.4195692217	7462.1456766817
