	0	1	2	3	4	5	6	7
0	13951.0	232.5	-307.636	-247.058	842.38	-381.919	309.812	824.523
1	13920.078936	231.984652766	-300.595731857	-237.883138996	799.039417316	-387.22972606	308.240707553	782.321327222
2	13985.8475713	233.080792134	-307.696257909	-253.054966933	893.048801233	-371.501618991	310.758428471	871.327201537
3	13929.4223007	232.140367982	-296.274414295	-237.237089691	814.497200704	-381.88566611	307.925401226	794.81318668
4	13965.0466323	232.734111956	-298.051093706	-244.51965229	866.430057184	-372.233201901	308.742251652	843.199867929
5	13956.2905201	232.588178764	-292.794413535	-240.394089387	856.364005742	-371.881246761	307.520519526	831.711523703
6	13946.3238198	232.4220616	-286.804190793	-235.881388478	845.171427121	-371.487163946	306.018033285	818.828363081
7	13968.7447237	232.795742354	-285.085900051	-239.338901008	880.456207528	-363.94300005	305.600634287	850.09425116
8	13947.3950936	232.439920861	-276.370878409	-231.679379224	854.753969529	-365.691891379	303.308036728	822.249648294
9	13962.7781695	232.696305371	-272.485233062	-233.227080929	881.759743637	-359.188942579	302.3936405	844.160563192
10	13960.3513339	232.655852451	-265.362129769	-230.167150581	884.526192727	-356.396307246	300.710436807	842.07664268
11	13953.861342	232.547687073	-257.159138408	-226.166993216	882.529659001	-354.421076243	298.880771811	834.553906742
12	13968.0289092	232.783818636	-251.65543312	-227.441128545	910.817238945	-347.83013116	297.825214616	854.963109036
13	13955.2564721	232.570942506	-241.664706405	-221.990191727	902.13564437	-346.962236045	295.706612602	838.928198508
14	13964.7202423	232.728666978	-234.445014796	-222.230983566	925.868125079	-341.234673387	294.366823549	852.875158886
15	13964.3506559	232.722510329	-225.648770872	-220.130625223	936.915105102	-337.667536783	292.570340431	853.454202688
16	13959.2959554	232.638269765	-216.049852256	-216.918053177	942.329870619	-335.219685851	290.533730896	847.68062089
17	13969.9266667	232.815444324	-208.689827016	-217.6221069	970.83892143	-329.516129502	289.001529785	862.993244029
18	13961.0684126	232.667803057	-198.611687375	-213.49139057	973.000150016	-328.061462549	286.760060653	851.810094665
19	13967.6819969	232.778034122	-190.906874511	-213.177580092	997.952537274	-323.389803005	284.936493051	861.295608737
20	13968.3319261	232.788869095	-182.576833807	-211.405622001	1015.51928359	-320.230062368	282.761591984	862.627490349
