	0	1	2	3	4	5	6	7
0	9734.0	162.21667	224.253	-92.048	1052.943	205.683	107.308	1043.186
1	9691.41504127	161.506916832	215.945441209	-96.6301150033	1004.57768591	197.530839306	115.236094732	998.907691209
2	9747.35827161	162.439300799	228.045477274	-85.1476854449	1077.15636962	209.305187466	104.106180326	1063.12815027
3	9754.94425576	162.565735301	229.973108859	-81.8953256456	1090.41439199	211.304384889	102.373145368	1074.13661695
4	9722.41833573	162.023640923	223.613424304	-85.1561955576	1054.46786276	205.233492988	108.404902485	1041.04641655
5	9728.51948145	162.125328492	225.379234613	-81.9076478268	1065.89212059	207.028600563	106.960368958	1050.5166357
6	9750.24216294	162.487370261	230.378717109	-76.1611710074	1096.57849391	212.000304605	102.478230452	1077.22628117
7	9739.64160205	162.31069023	228.622555984	-75.8293613513	1087.80579818	210.409952895	104.223720495	1068.48313132
8	9727.89128782	162.114851547	226.675349981	-75.669475636	1077.70992148	208.622345622	106.210656509	1058.64890403
9	9741.61558612	162.343593784	230.08793573	-71.3432441932	1098.85491117	212.101652771	103.30480975	1076.93761903
10	9747.42089164	162.440351959	231.874897398	-68.3549287914	1110.33584482	214.008325729	101.882159416	1086.49238292
11	9735.21519851	162.236922139	229.957000676	-68.1836249307	1099.76853097	212.225453848	103.858057947	1076.26233927
12	9736.0741246	162.25123328	230.820126594	-65.6929632111	1105.16338409	213.264904686	103.34094286	1080.56063588
13	9747.40419241	162.4400661	233.860276581	-61.5964582789	1123.40146476	216.844770301	100.929881676	1096.49397664
14	9743.69543404	162.378256513	233.721087418	-60.2535479489	1123.39286819	217.57751443	101.469165124	1095.85963859
15	9736.49340308	162.258226613	232.877262287	-59.5775705779	1119.29617996	217.364097015	102.592607532	1091.34630576
16	9743.74782589	162.379133592	235.150042503	-56.4507648918	1132.95213107	219.823037709	100.843559023	1102.78994097
17	9748.6515943	162.460859065	236.995142875	-53.7275417865	1143.7401642	221.863225401	99.5660937641	1111.74398381
18	9741.59739252	162.34328608	236.29489779	-53.0736129125	1140.01308975	221.617390352	100.632651494	1107.6402281
19	9741.18363168	162.336391833	236.905136108	-51.3694162898	1144.54924416	222.705491975	100.408722183	1110.91873106
