	RHX	RHY	RHZ	LHX	LHY	LHZ
0	84.5019955978	-169.833754501	802.843062544	88.8130159616	342.92857611	831.833532012
1	85.2661750803	-174.654264107	805.603671277	90.2483227289	347.431904211	832.193383864
2	86.7846675287	-179.180555512	808.562607657	90.7105963214	352.048746784	833.456972326
3	88.984249502	-183.1091	812.032030785	91.8343095835	356.54682927	834.925612007
4	91.1589552438	-186.891221737	815.668576311	92.9843753164	360.594202073	837.181918779
5	93.2245732272	-190.580757184	819.431285821	94.0748426148	364.145940073	840.304742227
6	95.1811034522	-194.177706339	823.320159316	95.3226529494	367.054601407	844.002503139
7	97.0285459189	-197.682069204	827.335196795	97.0709639208	369.083787375	847.849288166
8	98.7669006272	-201.093845777	831.476398259	99.6753461463	369.977639553	852.109316177
9	100.396167577	-204.41303606	835.743763707	103.37983245	370.326987919	854.967766257
10	101.916346769	-207.639640052	840.137293141	106.145898166	371.633430435	858.784589659
11	103.327438202	-210.773657753	844.656986559	108.359238206	373.150812014	863.387755251
12	104.714338311	-213.80562297	849.258680226	112.441784415	372.448774147	865.998522222
13	106.168489293	-216.725339639	853.894805255	116.156434825	371.443028209	868.99144893
14	107.689922391	-219.532804275	858.565345392	118.476683238	371.03596303	873.456211376
15	109.278637605	-222.22801688	863.270300638	121.211296694	370.235722471	877.413295224
16	110.934634935	-224.810977453	868.009670992	125.187655518	368.588603961	879.957215587
17	112.64506092	-227.302677362	872.779479146	129.736363817	366.638277382	881.876208685
18	114.352768291	-229.796445513	877.562041742	133.051266935	365.851665221	885.297082484
19	116.050930929	-232.303429842	882.35524654	135.056486657	366.289909313	890.308538231
20	117.730167633	-234.809762111	887.164190809	137.391574175	366.588844017	894.936452103
21	119.346632603	-237.250625037	892.012698129	141.048937254	365.922750328	897.985902086
22	120.894761396	-239.617792696	896.903791936	145.521391333	364.723730171	900.051690287
23	122.373025351	-241.911021849	901.838745779	148.517303737	364.944167292	903.821335317
24	123.748982458	-244.125150301	906.844587539	149.959723619	366.626671812	909.383751338
25	125.009584136	-246.258101754	911.93218817	152.186304603	367.514409078	913.982074783
26	126.154830383	-248.309876208	917.10154767	155.863676461	366.963796502	916.830129582
27	127.208679795	-250.323243778	922.316705564	160.267608169	365.759915091	918.842661508
28	128.226930533	-252.397813549	927.49391201	164.186263164	365.21642007	921.550290396
29	129.21186205	-254.537654729	932.62974568	167.536590787	365.287556315	924.974452207
30	130.163799147	-256.741684741	937.724762118	169.993792132	365.637350628	929.102457586
31	131.126778621	-258.863127108	942.854282495	171.793236447	366.170561349	933.715173234
32	132.13181659	-260.798603811	948.07135723	174.004993149	366.702538037	937.983761198
33	133.178913054	-262.54811485	953.375986321	176.459670477	367.246987594	942.044893637
34	134.219030604	-264.228104322	958.72146621	178.645249005	367.860835162	946.305307993
35	135.09630675	-266.208682876	963.95935241	180.689501653	368.435195101	950.660523147
36	135.799175873	-268.517314193	969.07862975	182.664447677	368.913259862	955.051792034
37	136.327637976	-271.153998272	974.07929823	184.570087075	369.295029447	959.479114655
38	136.752478342	-273.805600753	979.08391217	186.406459444	369.580616974	963.94245969
39	137.151477918	-276.12804042	984.227137848	188.225892586	369.919515946	968.400438722
40	137.52467939	-278.121128445	989.509049167	190.07522723	370.445544033	972.816003306
41	137.875122142	-279.815163748	994.917029145	191.955022206	371.157262216	977.189425646
42	138.247021663	-281.650920211	1000.26753206	193.977586191	371.765469614	981.575411201
43	138.654941506	-283.773578491	1005.50010223	196.388680489	371.670108654	985.639188822
44	139.098881672	-286.183138588	1010.61473965	197.708686099	371.967409873	988.0315324
45	139.439362291	-288.572957756	1015.73801044	201.532602171	369.817212551	991.298562129
46	139.508968622	-290.574979174	1021.02182923	204.9067211	368.714480995	994.252107813
47	139.30735948	-292.188452757	1026.46650562	208.712895357	369.762515665	994.71101636
48	139.230134225	-293.687188472	1031.94904215	209.330114183	369.369817321	997.39761941
49	139.805096964	-295.436500418	1037.30533702	209.989562135	370.245890078	1001.62119002
50	141.002640272	-297.424489858	1042.54072134	210.185545616	368.669017875	1005.69129454
51	142.070003012	-299.330674479	1047.7988343	210.507882444	365.190514056	1008.87132095
52	142.690792732	-301.020352607	1053.14004876	210.771069622	362.823738221	1013.29983577
53	143.001605228	-302.628864013	1058.51763316	208.052239462	366.092729112	1013.91142856
54	143.547674799	-304.696429451	1063.74505428	212.866805464	366.044315609	1018.16827187
55	144.385681028	-307.279207324	1068.80292113	205.54112627	368.999932656	1023.65022745
56	145.279486036	-309.879422026	1073.84413835	215.186920927	367.576540662	1027.27365764
57	145.96554633	-311.941527273	1079.0393563	214.257649583	369.234887718	1032.05466769
58	146.584341471	-313.59904106	1084.33970934	200.237438115	374.549262267	1038.13745264
59	147.851219131	-315.533014935	1089.49606604	188.877270587	379.006435448	1043.46516573
60	149.683032926	-317.778079594	1094.51246092	181.239318873	382.302056454	1047.89910295
61	150.302905938	-319.74610133	1099.76601893	177.323582974	384.436125282	1051.43926429
62	149.39404258	-321.32060337	1105.32644415	177.130062888	385.408641934	1054.08564977
63	149.20716592	-323.047003545	1110.75841531	180.658758616	385.21960641	1055.83825937
64	150.325359377	-325.074927589	1115.94454995	187.909670158	383.869018708	1056.69709309
65	150.581276036	-326.957469151	1121.26072916	196.61796855	382.080361004	1057.34436717
66	150.198422987	-328.581944119	1126.72793661	202.237184524	381.305967899	1059.14957799
67	150.370696824	-329.948806911	1132.21746732	204.639323091	381.586726405	1062.15128047
68	150.159389616	-331.086460666	1137.73080176	204.016641422	382.866736185	1066.29041861
69	149.369920548	-331.977635054	1143.25545131	203.001056838	384.380745861	1070.75854168
