	RHX	RHY	RHZ	LHX	LHY	LHZ
0	266.714235915	-324.642255001	845.36673326	281.434745263	337.046576847	852.02009782
1	267.413066951	-327.773743226	846.623985183	282.581226145	339.971987884	852.783625374
2	268.454843115	-330.690156291	848.099964041	283.956188027	342.816765973	853.430473178
3	270.444439659	-332.900589312	849.817542219	285.57104452	345.406622443	854.456485013
4	273.001346522	-334.500987907	851.531611321	287.424365192	347.695022427	855.877536854
5	275.776230493	-335.89389974	853.038935323	289.502509618	349.589582691	857.444113133
6	278.739642508	-336.973146505	854.470758922	291.803870639	351.079418345	859.126815129
7	281.758203831	-337.776026446	855.942150385	294.300515255	352.203107694	860.893552546
8	284.526340656	-339.070802876	857.570547753	296.887449877	353.105657509	862.623705501
9	286.868263405	-340.211260504	859.810830647	299.554626587	353.800944985	864.305730632
10	289.247950162	-341.142164275	862.135847279	302.284123046	354.303601438	865.9632392
11	291.660144145	-342.231091719	864.360294613	304.985242785	354.687669031	867.715716622
12	293.994751732	-343.4389585	866.613179823	307.645366687	354.963449673	869.579787585
13	296.268452746	-344.729273583	868.885363741	310.237873657	355.182419856	871.562510916
14	298.492340025	-346.07776878	871.170768406	312.61102249	355.637997467	873.70412218
15	300.666413569	-347.48444409	873.469393818	314.742057148	356.374828505	876.010122614
16	302.790673377	-348.949299513	875.781239977	316.739153726	357.239476094	878.405665379
17	304.873692432	-350.468336343	878.099298337	318.671945601	358.133172312	880.842571266
18	306.956919834	-352.022221426	880.389683616	320.540432774	359.055917159	883.320840277
19	309.045829688	-353.608401469	882.647920649	322.345182681	360.007610679	885.840066127
20	311.140421992	-355.22687647	884.874009435	324.141694508	360.978476498	888.360511409
21	313.222681884	-356.864925832	887.096390125	325.96665066	361.962052882	890.85591153
22	315.230597989	-358.478762279	889.41296037	327.820051135	362.95833983	893.326266489
23	317.159929524	-360.072220849	891.824091144	329.700057487	363.968470582	895.772283274
24	319.024124378	-361.748847548	894.221464097	331.555728102	365.023846077	898.213551862
25	320.827469608	-363.541651821	896.57054841	333.364003799	366.138680234	900.658939831
26	322.617928242	-365.33279715	898.923491728	335.124884578	367.312973054	903.10844718
27	324.496107244	-366.875110375	901.389678635	336.838370439	368.546724535	905.56207391
28	326.464339693	-368.162291438	903.972064148	338.504461383	369.839934679	908.019820021
29	328.390390583	-369.431274548	906.591643172	340.123157408	371.192603485	910.481685512
30	330.178967905	-370.852800704	909.191482564	341.694458516	372.604730953	912.947670385
31	331.832647345	-372.424050064	911.772095721	343.217387029	374.083788691	915.405472119
32	333.444581557	-374.043039823	914.352050305	344.690571202	375.640259868	917.837829452
33	335.061475468	-375.658637788	916.940655777	346.114001577	377.274216754	920.244623388
34	336.683329077	-377.270843958	919.537912138	347.487678154	378.985659349	922.625853927
35	338.310142384	-378.879658335	922.143819387	348.811600934	380.774587652	924.981521068
36	339.94191539	-380.485080917	924.758377525	350.08601754	382.640481749	927.311847931
37	341.578648094	-382.087111705	927.381586551	351.343260528	384.515455704	929.645967344
38	343.21720186	-383.687266457	930.013470446	352.605948367	386.352019436	932.004259384
39	344.76538697	-385.330066815	932.654733572	353.874081054	388.150172945	934.386724052
40	346.180474693	-387.036147978	935.305702391	355.147658591	389.909916231	936.793361346
